date,anomaly_count,escalate_count,investigate_count,monitor_count,suppressed_count,daily_at_risk,daily_upside,cumulative_at_risk,cumulative_upside
2024-01-11,1,1,0,0,0,0.0,74894.67,0.0,74894.67
2024-01-30,1,0,1,0,0,0.0,63747.32,0.0,138641.99
2024-01-31,1,1,0,0,0,0.0,40739.14,0.0,179381.13
2024-02-27,1,0,1,0,0,0.0,23847.12,0.0,203228.25
2024-03-11,1,0,1,0,0,0.0,39841.15,0.0,243069.4
2024-03-15,2,0,2,0,0,58269.26,0.0,58269.26,243069.4
2024-04-12,1,0,1,0,0,0.0,48110.02,58269.26,291179.42
2024-04-17,9,0,5,4,0,13012.22,44292.76,71281.48,335472.18
2024-04-28,1,0,1,0,0,0.0,48634.05,71281.48,384106.23
2024-04-29,1,0,1,0,0,0.0,27480.9,71281.48,411587.13
2024-05-26,1,0,1,0,0,0.0,32305.43,71281.48,443892.56
2024-06-01,1,0,1,0,0,0.0,36465.7,71281.48,480358.26
2024-06-12,1,0,1,0,0,0.0,35238.04,71281.48,515596.3
2024-06-18,9,0,4,4,1,57240.54,51548.09,128522.02,567144.39
2024-06-19,5,0,2,3,0,2331.37,59960.65,130853.39,627105.04
2024-06-20,7,0,3,4,0,17028.29,54133.14,147881.68,681238.18
2024-06-21,3,0,1,2,0,61014.03,0.0,208895.71,681238.18
2024-06-22,5,0,2,3,0,57776.37,6566.59,266672.08,687804.77
2024-06-24,1,0,1,0,0,0.0,34932.97,266672.08,722737.74
2024-06-26,6,0,4,2,0,72590.77,50366.18,339262.85,773103.92
2024-07-08,1,0,1,0,0,0.0,45300.43,339262.85,818404.35
2024-07-10,3,0,2,1,0,14621.22,22344.27,353884.07,840748.62
2024-07-11,3,0,1,2,0,0.0,62956.17,353884.07,903704.79
2024-07-23,5,0,4,1,0,86241.55,8488.1,440125.62,912192.89
2024-08-09,1,0,1,0,0,0.0,65225.92,440125.62,977418.81
2024-08-14,1,0,1,0,0,0.0,22292.25,440125.62,999711.06
2024-08-17,1,0,1,0,0,0.0,21172.84,440125.62,1020883.9
2024-08-20,6,2,1,3,0,14045.52,118043.07,454171.14,1138926.97
2024-08-21,3,0,1,2,0,680.67,18405.06,454851.81,1157332.03
2024-09-03,1,0,1,0,0,0.0,52574.57,454851.81,1209906.6
2024-10-24,1,0,1,0,0,0.0,28243.57,454851.81,1238150.17
2024-10-31,1,0,1,0,0,0.0,57717.27,454851.81,1295867.44
2024-11-05,5,0,2,3,0,27840.15,333245.12,482691.96,1629112.56
2024-11-29,6,3,1,2,0,11850.98,628611.17,494542.94,2257723.73
2024-12-02,6,2,2,2,0,6312.98,200264.21,500855.92,2457987.94
2024-12-14,5,0,0,4,1,6357.27,89127.78,507213.19,2547115.72
2024-12-16,4,0,1,2,1,15069.8,0.0,522282.99,2547115.72
2025-01-14,3,1,1,1,0,0.0,46882.92,522282.99,2593998.64
2025-01-21,1,0,1,0,0,0.0,64724.03,522282.99,2658722.67
2025-01-26,2,0,0,2,0,29737.45,6575.0,552020.44,2665297.67
2025-01-27,4,0,2,2,0,5683.96,93405.52,557704.4,2758703.19
2025-01-28,3,0,0,2,1,48356.15,3387.75,606060.55,2762090.94
2025-01-29,3,0,2,1,0,1724.6,13942.19,607785.15,2776033.13
2025-01-30,3,0,1,2,0,10801.96,11750.11,618587.11,2787783.24
2025-01-31,5,0,2,3,0,6096.07,91918.22,624683.18,2879701.46
2025-02-01,4,0,0,3,1,15182.56,14609.07,639865.74,2894310.53
2025-02-02,2,0,1,1,0,0.0,13276.67,639865.74,2907587.2
2025-02-04,4,0,1,2,1,32593.11,0.0,672458.85,2907587.2
2025-02-10,1,0,1,0,0,27658.09,0.0,700116.94,2907587.2
2025-02-17,1,0,1,0,0,0.0,28944.74,700116.94,2936531.94
2025-02-20,1,0,1,0,0,0.0,17863.81,700116.94,2954395.75
2025-02-26,1,0,1,0,0,0.0,29788.6,700116.94,2984184.35
2025-05-05,1,0,1,0,0,0.0,19015.21,700116.94,3003199.56
2025-05-25,2,1,0,1,0,0.0,78043.78,700116.94,3081243.34
2025-06-09,1,0,1,0,0,0.0,21441.0,700116.94,3102684.34
2025-07-07,1,0,1,0,0,0.0,22166.78,700116.94,3124851.12
2025-07-10,1,0,1,0,0,0.0,18350.94,700116.94,3143202.06
2025-08-19,1,0,1,0,0,0.0,27995.09,700116.94,3171197.15
2025-08-30,1,0,1,0,0,0.0,32280.83,700116.94,3203477.98
2025-09-17,3,0,1,2,0,17713.74,305754.29,717830.68,3509232.27
2025-09-20,1,0,1,0,0,0.0,56479.76,717830.68,3565712.03
2025-09-24,4,1,0,3,0,1254.72,51704.86,719085.4,3617416.89
2025-09-25,5,1,1,3,0,1467.94,32474.74,720553.34,3649891.63
2025-11-08,1,0,1,0,0,0.0,47258.78,720553.34,3697150.41
2025-11-28,6,2,2,2,0,79821.73,533038.54,800375.07,4230188.95
2025-12-01,2,0,2,0,0,0.0,91823.24,800375.07,4322012.19
2025-12-24,1,0,1,0,0,0.0,41789.66,800375.07,4363801.85
2025-12-26,1,0,1,0,0,0.0,18092.62,800375.07,4381894.47
