date,anomaly_event,anomaly_kpi
2024-02-08,economic_sentiment_drop,aov
2024-03-15,inventory_stockout,sales_volume
2024-04-22,logistics_disruption,fulfillment_time
2024-05-22,fraud_attack,refunds
2024-06-18,website_outage,sessions
2024-07-10,marketing_tracking_outage,roas
2024-08-05,defective_product_returns,return_rate
2024-08-20,back_to_school_surge,sales_volume
2024-09-03,email_campaign_spike,conversion_rate
2024-10-14,coupon_abuse,discount_rate
2024-11-05,bot_traffic_surge,sessions
2024-11-29,black_friday_spike,revenue
2024-12-02,cyber_monday_halo,revenue
2024-12-10,influencer_campaign,new_customers
2025-02-10,inventory_stockout,sales_volume
2025-03-22,influencer_campaign,new_customers
2025-06-14,fraud_attack,refunds
2025-09-17,bot_traffic_surge,sessions
2025-11-28,black_friday_spike,revenue
2025-12-01,cyber_monday_halo,revenue
