anomaly_id,date,kpi,tier,severity,votes,methods_flagged,direction,actual_value,expected_value,deviation_pct,z_score,method_b_score,yhat,yhat_lower,yhat_upper,flag_a1,flag_a2,flag_a3,method_a_flag,method_b_flag,method_c_flag,anomaly_flag,anomaly_event,anomaly_kpi
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,2,"statistical, prophet",DOWN,7563.43,11903.66,-36.46,-2.1924,-0.02119,13288.9043,8349.6833,18915.9233,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,2,"statistical, isolation_forest",UP,14093.26,13220.8257,6.6,1.7937,0.01839,13958.2416,8829.3542,19394.2428,False,True,False,True,True,False,0,,
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,2,"statistical, isolation_forest",UP,14538.37,12447.5057,16.8,2.1331,0.03432,14270.8169,8625.2932,19796.6032,False,True,False,True,True,False,1,website_outage,sessions
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,2,"statistical, isolation_forest",UP,14454.71,13516.6257,6.94,1.1521,0.02479,14180.0408,8574.0425,19749.2924,False,False,True,True,True,False,0,,
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,2,"statistical, isolation_forest",UP,16154.57,15501.5014,4.21,1.4968,0.0198,15855.7415,10162.4856,21472.3209,False,True,False,True,True,False,0,,
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,3,"statistical, isolation_forest, prophet",UP,22652.0,15196.3457,49.06,2.267,0.06868,14161.1316,8796.8278,19722.3285,False,True,True,True,True,True,1,back_to_school_surge,sales_volume
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,3,"statistical, isolation_forest, prophet",UP,66133.01,20422.0,223.83,2.2671,0.11493,17984.1828,12621.8865,23387.5432,False,True,True,True,True,True,1,black_friday_spike,revenue
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,3,"statistical, isolation_forest, prophet",UP,34476.87,23829.42,44.68,0.5254,0.03904,17474.1273,12081.9343,23006.0379,False,False,True,True,True,True,1,cyber_monday_halo,revenue
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,3,"statistical, isolation_forest, prophet",UP,61672.61,17791.98,246.63,2.2677,0.07208,15677.9807,10080.8832,21384.5531,False,True,True,True,True,True,1,black_friday_spike,revenue
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,2,"statistical, prophet",UP,32076.65,21065.7829,52.27,0.5619,-0.00267,15144.7387,9722.3556,20795.7588,False,False,True,True,False,True,1,cyber_monday_halo,revenue
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,2,"statistical, prophet",DOWN,125.0,194.4286,-35.71,-2.2526,-0.02119,206.89,189.5525,223.2448,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20240417-ORD,2024-04-17,n_orders,1,MEDIUM,2,"statistical, isolation_forest",UP,234.0,220.8571,5.95,1.9074,0.01839,234.6457,218.2158,251.6192,False,True,False,True,True,False,0,,
ANO-20240618-ORD,2024-06-18,n_orders,1,MEDIUM,2,"statistical, isolation_forest",UP,241.0,216.7143,11.21,2.1363,0.03432,242.8087,226.9903,259.8683,False,True,False,True,True,False,1,website_outage,sessions
ANO-20240723-ORD,2024-07-23,n_orders,1,MEDIUM,2,"statistical, isolation_forest",UP,242.0,237.4286,1.93,0.9908,0.0198,243.0173,226.6607,258.7989,False,True,False,True,True,False,0,,
ANO-20240820-ORD,2024-08-20,n_orders,1,HIGH,3,"statistical, isolation_forest, prophet",UP,370.0,245.1429,50.93,2.2651,0.06868,236.3458,219.5809,253.3522,False,True,True,True,True,True,1,back_to_school_surge,sales_volume
ANO-20241129-ORD,2024-11-29,n_orders,1,HIGH,3,"statistical, isolation_forest, prophet",UP,310.0,225.7143,37.34,2.2511,0.11493,221.9312,205.2611,238.1802,False,True,True,True,True,True,1,black_friday_spike,revenue
ANO-20241202-ORD,2024-12-02,n_orders,1,HIGH,3,"statistical, isolation_forest, prophet",UP,268.0,236.4286,13.35,0.8305,0.03904,223.0035,206.9424,239.7521,False,True,True,True,True,True,1,cyber_monday_halo,revenue
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,2,"statistical, prophet",DOWN,132.0,200.8571,-34.28,-2.2573,-0.01258,201.3884,185.2831,218.5805,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20251128-ORD,2025-11-28,n_orders,1,HIGH,3,"statistical, isolation_forest, prophet",UP,290.0,204.0,42.16,2.265,0.07208,202.7133,186.228,220.3186,False,True,True,True,True,True,1,black_friday_spike,revenue
ANO-20251201-ORD,2025-12-01,n_orders,1,MEDIUM,2,"statistical, prophet",UP,252.0,215.2857,17.05,0.9199,-0.00267,204.7764,188.315,220.4872,False,True,True,True,False,True,1,cyber_monday_halo,revenue
