customer_id,segment,country,cohort_month,age,is_loyalty_member,lifetime_value_usd,email_opt_in,avg_review_score
C0000001,new,FR,2024-09,23,0,84.57,0,3.6
C0000002,regular,FR,2024-03,72,0,228.54,0,1.5
C0000003,new,US,2022-08,47,0,87.9,1,3.6
C0000004,occasional,US,2024-12,74,0,60.98,0,3.6
C0000005,loyalty,US,2024-12,41,1,779.13,0,2.9
C0000006,churned,US,2022-02,65,0,77.06,1,4.8
C0000007,new,US,2022-01,36,0,54.11,1,2.1
C0000008,new,JP,2022-09,43,0,80.72,1,3.3
C0000009,loyalty,US,2024-05,37,1,1401.69,1,1.5
C0000010,occasional,US,2023-10,49,0,47.59,1,2.5
C0000011,regular,FR,2023-07,30,0,337.76,1,2.1
C0000012,churned,DE,2023-03,46,0,71.82,1,3.8
C0000013,occasional,US,2023-06,65,0,53.39,1,4.1
C0000014,new,US,2023-11,26,0,32.49,1,4.4
C0000015,regular,CA,2022-03,63,0,707.92,0,2.0
C0000016,regular,US,2023-10,66,0,545.84,0,3.6
C0000017,occasional,UK,2022-08,19,0,220.38,1,3.0
C0000018,loyalty,AE,2024-05,56,1,624.05,1,3.1
C0000019,new,US,2022-08,45,0,70.41,0,1.9
C0000020,occasional,FR,2022-03,54,0,102.88,1,3.8
C0000021,new,US,2023-04,34,0,47.56,1,3.5
C0000022,regular,US,2023-04,30,0,721.98,1,4.6
C0000023,churned,US,2023-07,34,0,91.61,0,3.4
C0000024,new,JP,2024-07,26,0,16.13,1,3.8
C0000025,new,US,2024-02,41,0,80.49,1,2.4
C0000026,regular,US,2023-02,67,0,267.98,1,1.8
C0000027,occasional,CA,2024-03,62,0,87.75,1,4.8
C0000028,loyalty,US,2023-07,28,1,2073.31,1,3.4
C0000029,regular,AU,2022-09,49,0,479.16,1,2.9
C0000030,occasional,UK,2022-01,22,0,131.76,1,5.0
C0000031,new,UK,2022-01,21,0,73.1,1,2.1
C0000032,churned,FR,2022-09,53,0,46.14,1,3.8
C0000033,regular,FR,2024-06,35,0,574.63,0,
