anomaly_id,date,kpi,tier,severity,votes,methods_flagged,direction,actual_value,expected_value,deviation_pct,z_score,method_b_score,yhat,yhat_lower,yhat_upper,flag_a1,flag_a2,flag_a3,method_a_flag,method_b_flag,method_c_flag,anomaly_flag,anomaly_event,anomaly_kpi
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,2,"statistical, prophet",DOWN,7563.43,11903.66,-36.46,-2.1924,-0.02119,13288.9043,7778.6662,18512.1011,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,2,"statistical, prophet",DOWN,125.0,194.4286,-35.71,-2.2526,-0.02119,206.89,190.2742,223.7195,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,2,"statistical, prophet",DOWN,132.0,200.8571,-34.28,-2.2573,-0.01258,201.3884,184.5094,218.2537,False,True,True,True,False,True,1,inventory_stockout,sales_volume
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,16.7,31.0373,-46.19,-0.3921,0.01839,39.8812,-11.8324,90.9131,False,False,True,True,True,False,0,,
ANO-20240618-ROAS,2024-06-18,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,33.824,52.2066,-35.21,-0.5094,0.03432,30.4773,-21.3526,82.0405,False,False,True,True,True,False,1,website_outage,sessions
ANO-20240621-ROAS,2024-06-21,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,9.197,35.454,-74.06,-1.0004,0.00341,34.0902,-18.4355,85.6776,False,False,True,True,True,False,0,,
ANO-20240622-ROAS,2024-06-22,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,21.769,37.1134,-41.34,-0.6212,0.02479,30.3001,-19.1906,81.6549,False,False,True,True,True,False,0,,
ANO-20240626-ROAS,2024-06-26,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,10.798,33.4786,-67.75,-0.6301,0.00036,33.5355,-15.1726,81.3528,False,False,True,True,True,False,0,,
ANO-20240710-ROAS,2024-07-10,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,14.032,34.5853,-59.43,-0.7114,0.09053,38.313,-15.0778,87.6043,False,False,True,True,True,False,1,marketing_tracking_outage,roas
ANO-20240723-ROAS,2024-07-23,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,3.372,29.1686,-88.44,-0.9054,0.0198,27.7496,-27.0537,78.7634,False,False,True,True,True,False,0,,
ANO-20240820-ROAS,2024-08-20,avg_roas,1,MEDIUM,2,"statistical, isolation_forest",DOWN,26.137,55.714,-53.09,-0.641,0.06868,44.7197,-8.0048,94.1298,False,False,True,True,True,False,1,back_to_school_surge,sales_volume
