anomaly_id,has_dimensional_breakdown,dim_data_sufficient,n_dimensions_checked,dim_1_name,dim_1_value,dim_1_z_score,dim_1_contribution_pct,dim_2_name,dim_2_value,dim_2_z_score,dim_2_contribution_pct,dim_3_name,dim_3_value,dim_3_z_score,dim_3_contribution_pct
ANO-20240315-REV,True,True,60,product_tier,standard,-2.2024,-94.29,loyalty_status,non_loyalty,-2.1671,-99.43,country,FR,-2.1665,-27.97
ANO-20240315-ORD,True,True,30,loyalty_status,non_loyalty,-2.2396,-101.03,order_channel,paid_search,-2.1149,-23.66,country,FR,-2.0908,-26.95
ANO-20240417-ROAS,True,True,5,marketing_channel,affiliate,-0.3921,-117.91,marketing_channel,display,-0.3921,-117.96,marketing_channel,email,-0.3921,-117.91
ANO-20240417-STK,True,False,30,,,,,,,,,,,,
ANO-20240417-DSC,True,True,37,brand,Brand_A,1.8377,121.54,brand,Brand_B,1.8377,121.54,brand,Brand_C,1.8377,121.54
ANO-20240618-SES,False,False,0,,,,,,,,,,,,
ANO-20240618-INV,True,False,30,,,,,,,,,,,,
ANO-20240618-DSC,True,True,37,brand,Brand_A,2.1964,113.14,brand,Brand_B,2.1964,113.14,brand,Brand_C,2.1964,113.14
ANO-20240618-ROAS,True,True,5,marketing_channel,affiliate,-0.5094,-93.52,marketing_channel,display,-0.5094,-93.52,marketing_channel,email,-0.5094,-93.52
ANO-20240619-INV,True,True,30,brand,Brand_I,-2.2678,-91.19,category,Apparel,-2.2678,-22.54,product_tier,standard,-2.2678,-5.56
ANO-20240619-STK,True,True,30,brand,Brand_I,2.2678,116.67,category,Apparel,2.2678,116.67,product_tier,standard,2.2678,116.67
ANO-20240619-DSC,True,True,37,brand,Brand_A,1.5021,117.71,brand,Brand_B,1.5021,117.71,brand,Brand_C,1.5021,117.71
ANO-20240620-CLK,True,True,5,marketing_channel,email,1.4749,175.58,marketing_channel,social,-0.9511,-72.55,marketing_channel,paid_search,-0.8193,-144.48
ANO-20240620-DSC,True,True,37,brand,Brand_A,1.3271,125.0,brand,Brand_B,1.3271,125.0,brand,Brand_C,1.3271,125.0
ANO-20240620-INV,True,True,30,brand,Brand_E,-2.2678,-49.25,category,Electronics,-2.2678,-22.11,product_tier,premium,-2.2678,-13.4
ANO-20240621-CLK,True,True,5,marketing_channel,email,-0.8456,-40.73,marketing_channel,paid_search,-0.5814,-42.72,marketing_channel,affiliate,-0.5803,-13.95
ANO-20240621-DSC,True,True,37,brand,Brand_A,0.2142,204.63,brand,Brand_B,0.2142,204.63,brand,Brand_C,0.2142,204.63
ANO-20240621-ROAS,True,True,5,marketing_channel,affiliate,-1.0004,-126.75,marketing_channel,display,-1.0004,-126.75,marketing_channel,email,-1.0004,-126.75
ANO-20240622-CLK,True,True,5,marketing_channel,social,1.1519,31.09,marketing_channel,affiliate,-1.1158,-36.97,marketing_channel,email,-0.792,-39.47
ANO-20240622-ROAS,True,True,5,marketing_channel,affiliate,-0.6212,-89.18,marketing_channel,display,-0.6212,-89.18,marketing_channel,email,-0.6212,-89.18
ANO-20240622-DSC,True,True,37,brand,Brand_A,0.0284,928.57,brand,Brand_B,0.0284,928.57,brand,Brand_C,0.0284,928.57
ANO-20240626-RET,True,True,52,brand,Brand_B,2.067,3974.49,order_channel,paid_search,-1.9769,-2030.61,brand,Brand_C,1.901,5475.0
ANO-20240626-ROAS,True,True,5,marketing_channel,affiliate,-0.6301,-129.18,marketing_channel,display,-0.6301,-129.18,marketing_channel,email,-0.6301,-129.18
ANO-20240626-BNC,False,False,0,,,,,,,,,,,,
ANO-20240626-CLK,True,True,5,marketing_channel,affiliate,-1.0106,-24.48,marketing_channel,paid_search,-0.7957,-62.79,marketing_channel,email,-0.6095,-26.55
ANO-20240710-ROAS,True,True,5,marketing_channel,affiliate,-0.7114,-114.97,marketing_channel,display,-0.7114,-114.97,marketing_channel,email,-0.7114,-114.97
ANO-20240710-INV,True,True,30,brand,Brand_E,-2.2678,-27.63,category,Toys,-2.2678,-14.94,product_tier,standard,-2.2678,-2.54
ANO-20240711-INV,True,True,30,brand,Brand_D,0.378,19.35,brand,Brand_E,0.378,9.68,category,Home,0.378,4.05
ANO-20240723-CLK,True,True,5,marketing_channel,email,-1.1579,-18.26,marketing_channel,social,-1.1057,-31.77,marketing_channel,paid_search,-0.7346,-25.28
ANO-20240723-ROAS,True,True,5,marketing_channel,affiliate,-0.9054,-118.81,marketing_channel,display,-0.9054,-118.81,marketing_channel,email,-0.9054,-118.81
ANO-20240820-DSC,True,True,37,brand,Brand_A,1.4517,123.81,brand,Brand_B,1.4517,123.81,brand,Brand_C,1.4517,123.81
ANO-20240820-ROAS,True,True,5,marketing_channel,affiliate,-0.641,-114.34,marketing_channel,display,-0.641,-114.35,marketing_channel,email,-0.641,-114.34
ANO-20240821-DSC,True,True,37,brand,Brand_A,0.9958,132.53,brand,Brand_B,0.9958,132.53,brand,Brand_C,0.9958,132.53
ANO-20241105-CLK,True,True,5,marketing_channel,display,-1.064,-28.65,marketing_channel,affiliate,-0.6451,-21.97,marketing_channel,social,-0.6328,-41.23
ANO-20241105-STK,True,False,30,,,,,,,,,,,,
ANO-20241105-BNC,False,False,0,,,,,,,,,,,,
ANO-20241129-INV,True,False,30,,,,,,,,,,,,
ANO-20241202-INV,True,False,30,,,,,,,,,,,,
ANO-20241214-DSC,True,True,37,brand,Brand_A,1.6718,124.48,brand,Brand_B,1.6718,124.48,brand,Brand_C,1.6718,124.48
ANO-20241214-ROAS,True,True,5,marketing_channel,paid_search,-0.3499,-58.12,marketing_channel,social,-0.3499,-58.12,marketing_channel,affiliate,-0.3498,-58.11
ANO-20241216-ROAS,True,True,5,marketing_channel,affiliate,-0.9653,-95.03,marketing_channel,display,-0.9653,-95.03,marketing_channel,email,-0.9653,-95.03
ANO-20241216-DSC,True,True,37,brand,Brand_A,0.8269,146.94,brand,Brand_B,0.8269,146.94,brand,Brand_C,0.8269,146.94
ANO-20241216-INV,True,False,30,,,,,,,,,,,,
ANO-20241216-STK,True,False,30,,,,,,,,,,,,
ANO-20250126-CLK,True,True,5,marketing_channel,social,-0.8972,-50.46,marketing_channel,display,-0.8593,-30.16,marketing_channel,paid_search,-0.6425,-33.39
ANO-20250126-INV,True,True,30,brand,Brand_E,-2.2678,-35.94,category,Toys,-1.4639,-16.66,product_tier,standard,-0.8018,-1.89
ANO-20250127-BNC,False,False,0,,,,,,,,,,,,
ANO-20250127-ROAS,True,True,5,marketing_channel,affiliate,-0.0689,11.16,marketing_channel,display,-0.0689,11.15,marketing_channel,email,-0.0689,11.16
ANO-20250127-INV,True,True,30,brand,Brand_B,-2.2678,-31.03,brand,Brand_H,-2.2678,-21.06,brand,Brand_L,-2.2678,-25.1
ANO-20250128-CLK,True,True,5,marketing_channel,affiliate,-0.7815,-19.36,marketing_channel,social,-0.6305,-51.31,marketing_channel,paid_search,-0.5791,-33.68
ANO-20250128-ROAS,True,True,5,marketing_channel,affiliate,-0.8378,-217.57,marketing_channel,display,-0.8378,-217.57,marketing_channel,email,-0.8378,-217.57
ANO-20250128-INV,True,True,30,brand,Brand_J,-2.2678,-89.97,category,Books,-2.2678,-37.7,category,Food,0.8018,14.42
ANO-20250129-RET,True,True,52,brand,Brand_E,2.0199,3812.09,country,CA,1.9615,2442.12,brand,Brand_L,1.7733,3815.02
ANO-20250130-CLK,True,True,5,marketing_channel,affiliate,0.9771,59.36,marketing_channel,social,-0.6107,-172.25,marketing_channel,display,0.3151,-17.4
ANO-20250130-DSC,True,True,37,brand,Brand_A,1.4369,120.23,brand,Brand_B,1.4369,120.23,brand,Brand_C,1.4369,120.23
ANO-20250131-DSC,True,True,37,brand,Brand_A,1.0982,135.85,brand,Brand_B,1.0982,135.85,brand,Brand_C,1.0982,135.85
ANO-20250201-ROAS,True,True,5,marketing_channel,affiliate,-0.7371,-95.95,marketing_channel,display,-0.7371,-95.95,marketing_channel,email,-0.7371,-95.95
ANO-20250201-DSC,True,True,37,brand,Brand_A,0.4235,197.57,brand,Brand_B,0.4235,197.57,brand,Brand_C,0.4235,197.57
ANO-20250204-ROAS,True,True,5,marketing_channel,affiliate,-1.2275,-97.91,marketing_channel,display,-1.2275,-97.91,marketing_channel,paid_search,-1.2275,-97.91
ANO-20250204-CLK,True,True,5,marketing_channel,display,-0.8628,-257.62,marketing_channel,email,0.4314,273.28,marketing_channel,paid_search,-0.3371,-106.4
ANO-20250204-BNC,False,False,0,,,,,,,,,,,,
ANO-20250210-ORD,True,True,30,country,US,-2.1824,-62.24,loyalty_status,non_loyalty,-2.1208,-92.32,cohort_year,2022,-2.0717,-59.96
ANO-20250525-INV,True,False,30,,,,,,,,,,,,
ANO-20250917-ROAS,True,True,5,marketing_channel,affiliate,-0.7594,-95.05,marketing_channel,email,-0.7594,-95.05,marketing_channel,paid_search,-0.7594,-95.05
ANO-20250924-DSC,True,True,37,brand,Brand_A,1.7208,122.32,brand,Brand_B,1.7208,122.32,brand,Brand_C,1.7208,122.32
ANO-20250924-INV,True,False,30,,,,,,,,,,,,
ANO-20250925-INV,True,False,30,,,,,,,,,,,,
ANO-20250925-DSC,True,True,37,brand,Brand_A,1.5899,124.5,brand,Brand_B,1.5899,124.5,brand,Brand_C,1.5899,124.5
ANO-20251128-ROAS,True,True,5,marketing_channel,affiliate,-0.9295,-128.45,marketing_channel,display,-0.9295,-128.46,marketing_channel,email,-0.9295,-128.46
