date,kpi,tier,actual_value,rolling_mean,z_score,stl_residual_z,wow_change,mom_change,deviation_pct,direction,flag_a1,flag_a2,flag_a3,method_a_flag,anomaly_flag,anomaly_event,anomaly_kpi,method_b_flag,method_b_score,top_5_features,method_c_flag,yhat,yhat_lower,yhat_upper,votes,confirmed,severity,methods_flagged,anomaly_id,expected_value,direction_suppressed,direction_suppression_reason
2024-01-01,total_revenue_usd,1,10670.0,10670.0,,,,,0.0,,False,False,False,False,0,,,False,-0.11831,"seasonal_index, total_clicks, n_reorders, avg_session_duration_sec, total_impressions",False,10519.9771,5135.4886,16221.5234,0,False,NONE,,,10670.0,False,
2024-01-02,total_revenue_usd,1,11219.0,10944.5,0.7071,,,,2.51,UP,False,False,False,False,0,,,False,-0.09696,"avg_roas, total_attributed_revenue_usd, seasonal_index, total_units_sold, total_conversions_marketing",False,11035.027,5750.5899,16380.8995,0,False,NONE,,,10944.5,False,
2024-01-03,total_revenue_usd,1,10950.54,10946.5133,0.0147,,,,0.04,UP,False,False,False,False,0,,,False,-0.10402,"seasonal_index, avg_roas, total_spend_usd, total_attributed_revenue_usd, n_reorders",False,10753.269,5291.5689,16411.0941,0,False,NONE,,,10946.5133,False,
2024-01-04,total_revenue_usd,1,10209.82,10762.34,-1.2814,,,,-5.13,DOWN,False,False,False,False,0,,,False,-0.07654,"bounce_rate, n_reorders, seasonal_index, total_clicks, n_orders",False,10058.8946,4728.8526,15283.5955,0,False,NONE,,,10762.34,False,
2024-01-05,total_revenue_usd,1,10241.14,10658.1,-0.9472,,,,-3.91,DOWN,False,False,False,False,0,,,False,-0.10412,"n_reorders, seasonal_index, total_spend_usd, total_attributed_revenue_usd, n_orders",False,11101.2955,5865.1245,16485.0151,0,False,NONE,,,10658.1,False,
2024-01-06,total_revenue_usd,1,10221.03,10585.255,-0.8426,,,,-3.44,DOWN,False,False,False,False,0,,,False,-0.10959,"n_unique_customers, seasonal_index, n_orders, total_clicks, avg_roas",False,10235.3277,4752.8744,15675.7752,0,False,NONE,,,10585.255,False,
2024-01-07,total_revenue_usd,1,9183.92,10385.0643,-1.8186,-1.7424,,,-11.57,DOWN,False,False,False,False,0,,,False,-0.07355,"pages_per_session, n_orders, seasonal_index, inventory_health, total_stock_on_hand",False,9058.1234,3765.7435,13964.9406,0,False,NONE,,,10385.0643,False,
2024-01-08,total_revenue_usd,1,10055.4,10297.2643,-0.3681,1.2747,-0.0576,,-2.35,DOWN,False,False,False,False,0,,,False,-0.08095,"total_spend_usd, inventory_health, total_stock_on_hand, seasonal_index, n_orders",False,10598.2648,4839.6296,16128.9615,0,False,NONE,,,10297.2643,False,
2024-01-09,total_revenue_usd,1,9513.04,10053.5557,-0.9504,-1.7433,-0.1521,,-5.38,DOWN,False,False,False,False,0,,,False,-0.09362,"n_orders, seasonal_index, total_impressions, marketing_pressure, conversion_rate",False,9739.0109,4717.1451,15347.0321,0,False,NONE,,,10053.5557,False,
2024-01-10,total_revenue_usd,1,9479.13,9843.3543,-0.8295,-1.0399,-0.1344,,-3.7,DOWN,False,False,False,False,0,,,False,-0.07518,"avg_session_duration_sec, n_orders, n_unique_customers, seasonal_index, marketing_pressure",False,9675.3355,4367.0013,15247.4108,0,False,NONE,,,9843.3543,False,
