date,kpi,tier,actual_value,rolling_mean,z_score,stl_residual_z,wow_change,mom_change,direction,deviation_pct,flag_a1,flag_a2,flag_a3,method_a_flag,anomaly_flag,anomaly_kpi,anomaly_event
2024-01-01,total_revenue_usd,1,10670.0,10670.0,,,,,N/A,0.0,False,False,False,False,0,,
2024-01-02,total_revenue_usd,1,11219.0,10944.5,0.7071,,,,UP,2.51,False,False,False,False,0,,
2024-01-03,total_revenue_usd,1,10950.54,10946.5133,0.0147,,,,UP,0.04,False,False,False,False,0,,
2024-01-04,total_revenue_usd,1,10209.82,10762.34,-1.2814,,,,DOWN,-5.13,False,False,False,False,0,,
2024-01-05,total_revenue_usd,1,10241.14,10658.1,-0.9472,,,,DOWN,-3.91,False,False,False,False,0,,
2024-01-06,total_revenue_usd,1,10221.03,10585.255,-0.8426,,,,DOWN,-3.44,False,False,False,False,0,,
2024-01-07,total_revenue_usd,1,9183.92,10385.0643,-1.8186,-1.7424,,,DOWN,-11.57,False,False,False,False,0,,
2024-01-08,total_revenue_usd,1,10055.4,10297.2643,-0.3681,1.2747,-0.0576,,DOWN,-2.35,False,False,False,False,0,,
2024-01-09,total_revenue_usd,1,9513.04,10053.5557,-0.9504,-1.7433,-0.1521,,DOWN,-5.38,False,False,False,False,0,,
2024-01-10,total_revenue_usd,1,9479.13,9843.3543,-0.8295,-1.0399,-0.1344,,DOWN,-3.7,False,False,False,False,0,,
2024-01-11,total_revenue_usd,1,9269.46,9709.0171,-0.9726,-0.6157,-0.0921,,DOWN,-4.53,False,False,False,False,0,,
2024-01-12,total_revenue_usd,1,10078.08,9685.7229,0.9271,1.0288,-0.0159,,UP,4.05,False,False,False,False,0,,
2024-01-13,total_revenue_usd,1,9892.86,9638.8414,0.6889,0.5937,-0.0321,,UP,2.64,False,False,False,False,0,,
2024-01-14,total_revenue_usd,1,9778.16,9723.7329,0.1754,1.2383,0.0647,,UP,0.56,False,False,False,False,0,,
2024-01-15,total_revenue_usd,1,9442.51,9636.1771,-0.6755,-0.0846,-0.061,,DOWN,-2.01,False,False,False,False,0,,
2024-01-16,total_revenue_usd,1,10078.39,9716.9414,1.1173,1.2682,0.0594,,UP,3.72,False,False,False,False,0,,
2024-01-17,total_revenue_usd,1,9522.13,9723.0843,-0.6308,-0.5143,0.0045,,DOWN,-2.07,False,False,False,False,0,,
2024-01-18,total_revenue_usd,1,9550.13,9763.18,-0.8035,0.2835,0.0303,,DOWN,-2.18,False,False,False,False,0,,
2024-01-19,total_revenue_usd,1,9526.69,9684.41,-0.6673,-1.1255,-0.0547,,DOWN,-1.63,False,False,False,False,0,,
2024-01-20,total_revenue_usd,1,9400.56,9614.0814,-0.9,-0.8953,-0.0498,,DOWN,-2.22,False,False,False,False,0,,
2024-01-21,total_revenue_usd,1,9703.48,9603.4129,0.4347,0.6369,-0.0076,,UP,1.04,False,False,False,False,0,,
2024-01-22,total_revenue_usd,1,9114.84,9556.6029,-1.5072,-0.9102,-0.0347,,DOWN,-4.62,False,False,False,False,0,,
2024-01-23,total_revenue_usd,1,9590.39,9486.8886,0.5528,-0.2019,-0.0484,,UP,1.09,False,False,False,False,0,,
2024-01-24,total_revenue_usd,1,10069.11,9565.0286,1.737,1.2056,0.0574,,UP,5.27,False,False,False,False,0,,
2024-01-25,total_revenue_usd,1,10079.38,9640.6357,1.2581,1.1926,0.0554,,UP,4.55,False,False,False,False,0,,
2024-01-26,total_revenue_usd,1,10393.4,9764.4514,1.4206,0.9439,0.091,,UP,6.44,False,False,False,False,0,,
2024-01-27,total_revenue_usd,1,10127.23,9868.2614,0.6049,1.0524,0.0773,,UP,2.62,False,False,False,False,0,,
2024-01-28,total_revenue_usd,1,9992.18,9909.5043,0.1952,0.7177,0.0298,,UP,0.83,False,False,False,False,0,,
2024-01-29,total_revenue_usd,1,9414.43,9952.3029,-1.6014,0.33,0.0329,,DOWN,-5.4,False,False,False,False,0,,
2024-01-30,total_revenue_usd,1,9099.75,9882.2114,-1.7224,-1.0418,-0.0512,,DOWN,-7.92,False,False,False,False,0,,
2024-01-31,total_revenue_usd,1,9379.45,9783.6886,-0.8404,0.0769,-0.0685,-0.121,DOWN,-4.13,False,False,False,False,0,,
2024-02-01,total_revenue_usd,1,9187.64,9656.2971,-0.9243,-0.0894,-0.0885,-0.1811,DOWN,-4.85,False,False,False,False,0,,
2024-02-02,total_revenue_usd,1,9641.98,9548.9514,0.2377,0.8226,-0.0723,-0.1195,UP,0.97,False,False,False,False,0,,
2024-02-03,total_revenue_usd,1,8880.57,9370.8571,-1.3352,-0.9575,-0.1231,-0.1302,DOWN,-5.23,False,False,False,False,0,,
2024-02-04,total_revenue_usd,1,8722.86,9189.5257,-1.4604,-1.4988,-0.127,-0.1483,DOWN,-5.08,False,False,False,False,0,,
2024-02-05,total_revenue_usd,1,8655.91,9081.1657,-1.1912,-0.4286,-0.0806,-0.1531,DOWN,-4.68,False,False,False,False,0,,
2024-02-06,total_revenue_usd,1,9030.57,9071.2829,-0.1139,0.2759,-0.0076,-0.0167,DOWN,-0.45,False,False,False,False,0,,
2024-02-07,total_revenue_usd,1,8815.01,8990.6486,-0.5174,-1.3955,-0.0602,-0.1234,DOWN,-1.95,False,False,False,False,0,,
2024-02-08,total_revenue_usd,1,8796.86,8934.8229,-0.4134,-1.8106,-0.0425,-0.0753,DOWN,-1.54,False,False,False,False,1,aov,economic_sentiment_drop
2024-02-09,total_revenue_usd,1,9488.65,8912.9186,2.0536,0.1016,-0.0159,0.001,UP,6.46,False,False,False,False,0,,
2024-02-10,total_revenue_usd,1,9933.07,9063.2757,1.8317,1.8198,0.1185,0.0716,UP,9.6,False,False,False,False,0,,
2024-02-11,total_revenue_usd,1,9849.33,9224.2,1.1836,0.3444,0.1291,-0.0227,UP,6.78,False,False,False,False,0,,
2024-02-12,total_revenue_usd,1,9714.89,9375.4829,0.6949,0.0356,0.1223,-0.018,UP,3.62,False,False,False,False,0,,
2024-02-13,total_revenue_usd,1,9056.3,9379.1586,-0.665,-3.1001,0.0028,-0.0738,DOWN,-3.44,False,True,False,True,0,,
2024-02-14,total_revenue_usd,1,10182.28,9574.4829,1.2263,-0.1618,0.1551,0.0783,UP,6.35,False,False,False,False,0,,
2024-02-15,total_revenue_usd,1,10524.24,9821.2514,1.4848,0.5442,0.1964,0.0442,UP,7.16,False,False,False,False,0,,
2024-02-16,total_revenue_usd,1,10174.08,9919.17,0.5494,-0.6638,0.0722,0.0685,UP,2.57,False,False,False,False,0,,
2024-02-17,total_revenue_usd,1,10391.66,9984.6829,0.8181,-0.1781,0.0462,0.0881,UP,4.08,False,False,False,False,0,,
2024-02-18,total_revenue_usd,1,11288.82,10190.3243,1.588,1.448,0.1462,0.185,UP,10.78,False,False,False,False,0,,
2024-02-19,total_revenue_usd,1,11094.28,10387.38,0.9694,0.695,0.142,0.1802,UP,6.81,False,False,False,False,0,,
2024-02-20,total_revenue_usd,1,11351.98,10715.3343,1.2343,0.823,0.2535,0.1699,UP,5.94,False,False,True,True,0,,
2024-02-21,total_revenue_usd,1,11700.09,10932.1643,1.3461,1.4051,0.1491,0.2836,UP,7.02,False,False,False,False,0,,
2024-02-22,total_revenue_usd,1,11434.98,11062.27,0.6588,0.5333,0.0865,0.1923,UP,3.37,False,False,False,False,0,,
2024-02-23,total_revenue_usd,1,10820.93,11154.6771,-0.769,-0.4955,0.0636,0.0747,DOWN,-2.99,False,False,False,False,0,,
2024-02-24,total_revenue_usd,1,10685.76,11196.6914,-1.4398,-0.5884,0.0283,0.0602,DOWN,-4.56,False,False,False,False,0,,
2024-02-25,total_revenue_usd,1,10694.87,11111.8414,-1.0487,-1.6044,-0.0526,0.029,DOWN,-3.75,False,False,False,False,0,,
2024-02-26,total_revenue_usd,1,11223.34,11130.2786,0.2329,-0.365,0.0116,0.1082,UP,0.84,False,False,False,False,0,,
2024-02-27,total_revenue_usd,1,11375.52,11133.6414,0.6018,-0.1228,0.0021,0.1384,UP,2.17,False,False,False,False,0,,
2024-02-28,total_revenue_usd,1,11883.07,11159.7814,1.6139,0.9401,0.0156,0.2622,UP,6.48,False,False,False,False,0,,
2024-02-29,total_revenue_usd,1,12000.2,11240.5271,1.3908,1.0915,0.0494,0.3187,UP,6.76,False,False,False,False,0,,
2024-03-01,total_revenue_usd,1,11860.9,11389.0943,0.851,0.9498,0.0961,0.2646,UP,4.14,False,False,False,False,0,,
2024-03-02,total_revenue_usd,1,11428.42,11495.1886,-0.145,-0.3235,0.0695,0.2439,DOWN,-0.58,False,False,False,False,0,,
2024-03-03,total_revenue_usd,1,11950.58,11674.5757,0.8628,0.6361,0.1174,0.2394,UP,2.36,False,False,False,False,0,,
2024-03-04,total_revenue_usd,1,12113.32,11801.7157,1.0906,-0.1914,0.0793,0.364,UP,2.64,False,False,False,False,0,,
2024-03-05,total_revenue_usd,1,12073.45,11901.42,0.7539,0.5593,0.0614,0.3841,UP,1.45,False,False,False,False,0,,
