date,kpi,tier,actual_value,yhat,yhat_lower,yhat_upper,interval_width_abs,interval_width_pct,deviation_pct,direction,method_c_flag,anomaly_flag,anomaly_event,anomaly_kpi
2024-01-01,total_revenue_usd,1,10670.0,10519.9771,5135.4886,16221.5234,11086.0348,105.38,1.43,NORMAL,False,0,,
2024-01-02,total_revenue_usd,1,11219.0,11035.027,5750.5899,16380.8995,10630.3096,96.33,1.67,NORMAL,False,0,,
2024-01-03,total_revenue_usd,1,10950.54,10753.269,5291.5689,16411.0941,11119.5251,103.41,1.83,NORMAL,False,0,,
2024-01-04,total_revenue_usd,1,10209.82,10058.8946,4728.8526,15283.5955,10554.7429,104.93,1.5,NORMAL,False,0,,
2024-01-05,total_revenue_usd,1,10241.14,11101.2955,5865.1245,16485.0151,10619.8907,95.66,-7.75,NORMAL,False,0,,
2024-01-06,total_revenue_usd,1,10221.03,10235.3277,4752.8744,15675.7752,10922.9008,106.72,-0.14,NORMAL,False,0,,
2024-01-07,total_revenue_usd,1,9183.92,9058.1234,3765.7435,13964.9406,10199.1971,112.6,1.39,NORMAL,False,0,,
2024-01-08,total_revenue_usd,1,10055.4,10598.2648,4839.6296,16128.9615,11289.3319,106.52,-5.12,NORMAL,False,0,,
2024-01-09,total_revenue_usd,1,9513.04,9739.0109,4717.1451,15347.0321,10629.8869,109.15,-2.32,NORMAL,False,0,,
2024-01-10,total_revenue_usd,1,9479.13,9675.3355,4367.0013,15247.4108,10880.4095,112.46,-2.03,NORMAL,False,0,,
2024-01-11,total_revenue_usd,1,9269.46,9456.8794,3955.3944,14998.9826,11043.5882,116.78,-1.98,NORMAL,False,0,,
2024-01-12,total_revenue_usd,1,10078.08,11402.7153,5749.7288,16997.6949,11247.9661,98.64,-11.62,NORMAL,False,0,,
2024-01-13,total_revenue_usd,1,9892.86,10131.4581,4833.6877,15755.8676,10922.1799,107.8,-2.36,NORMAL,False,0,,
2024-01-14,total_revenue_usd,1,9778.16,10007.813,4570.8155,15436.9644,10866.1489,108.58,-2.29,NORMAL,False,0,,
2024-01-15,total_revenue_usd,1,9442.51,9906.995,4109.1724,15231.7236,11122.5511,112.27,-4.69,NORMAL,False,0,,
2024-01-16,total_revenue_usd,1,10078.39,10329.8994,5089.0789,15770.7697,10681.6908,103.41,-2.43,NORMAL,False,0,,
2024-01-17,total_revenue_usd,1,9522.13,9529.6323,4361.3738,15322.5901,10961.2163,115.02,-0.08,NORMAL,False,0,,
2024-01-18,total_revenue_usd,1,9550.13,9434.5962,3890.4571,15392.0693,11501.6122,121.91,1.22,NORMAL,False,0,,
2024-01-19,total_revenue_usd,1,9526.69,10256.9392,4608.8562,15751.0033,11142.147,108.63,-7.12,NORMAL,False,0,,
2024-01-20,total_revenue_usd,1,9400.56,9091.4444,3810.634,14700.7126,10890.0786,119.78,3.4,NORMAL,False,0,,
2024-01-21,total_revenue_usd,1,9703.48,9354.8484,3836.6831,15345.5953,11508.9122,123.03,3.73,NORMAL,False,0,,
2024-01-22,total_revenue_usd,1,9114.84,8931.8515,3407.8521,14483.9305,11076.0785,124.01,2.05,NORMAL,False,0,,
2024-01-23,total_revenue_usd,1,9590.39,9161.0825,3890.9888,14412.4088,10521.4199,114.85,4.69,NORMAL,False,0,,
2024-01-24,total_revenue_usd,1,10069.11,9572.7151,4289.7427,14806.3662,10516.6235,109.86,5.19,NORMAL,False,0,,
2024-01-25,total_revenue_usd,1,10079.38,9533.9056,4507.3097,15359.1801,10851.8704,113.82,5.72,NORMAL,False,0,,
2024-01-26,total_revenue_usd,1,10393.4,10838.0548,5541.1453,16773.3063,11232.161,103.64,-4.1,NORMAL,False,0,,
