date,method_b_flag,method_b_score,method_b_prediction,in_train_set,top_5_features,anomaly_flag,anomaly_event,anomaly_kpi
2024-01-01,False,-0.11831,1,True,"seasonal_index, total_clicks, n_reorders, avg_session_duration_sec, total_impressions",0,,
2024-01-02,False,-0.09696,1,True,"avg_roas, total_attributed_revenue_usd, seasonal_index, total_units_sold, total_conversions_marketing",0,,
2024-01-03,False,-0.10402,1,True,"seasonal_index, avg_roas, total_spend_usd, total_attributed_revenue_usd, n_reorders",0,,
2024-01-04,False,-0.07654,1,True,"bounce_rate, n_reorders, seasonal_index, total_clicks, n_orders",0,,
2024-01-05,False,-0.10412,1,True,"n_reorders, seasonal_index, total_spend_usd, total_attributed_revenue_usd, n_orders",0,,
2024-01-06,False,-0.10959,1,True,"n_unique_customers, seasonal_index, n_orders, total_clicks, avg_roas",0,,
2024-01-07,False,-0.07355,1,True,"pages_per_session, n_orders, seasonal_index, inventory_health, total_stock_on_hand",0,,
2024-01-08,False,-0.08095,1,True,"total_spend_usd, inventory_health, total_stock_on_hand, seasonal_index, n_orders",0,,
2024-01-09,False,-0.09362,1,True,"n_orders, seasonal_index, total_impressions, marketing_pressure, conversion_rate",0,,
2024-01-10,False,-0.07518,1,True,"avg_session_duration_sec, n_orders, n_unique_customers, seasonal_index, marketing_pressure",0,,
2024-01-11,True,0.02326,-1,True,"avg_roas, total_attributed_revenue_usd, total_conversions_marketing, total_clicks, n_unique_customers",0,,
2024-01-12,False,-0.08674,1,True,"n_unique_customers, seasonal_index, n_orders, marketing_pressure, conversion_rate",0,,
2024-01-13,False,-0.08761,1,True,"total_units_sold, pages_per_session, total_spend_usd, seasonal_index, n_reorders",0,,
2024-01-14,False,-0.09503,1,True,"avg_session_duration_sec, seasonal_index, total_clicks, total_impressions, economic_index",0,,
2024-01-15,False,-0.08091,1,True,"pages_per_session, avg_session_duration_sec, seasonal_index, n_orders, total_units_sold",0,,
2024-01-16,False,-0.0913,1,True,"total_units_sold, pages_per_session, n_unique_customers, seasonal_index, total_clicks",0,,
2024-01-17,False,-0.09156,1,True,"n_reorders, total_impressions, seasonal_index, n_orders, total_clicks",0,,
2024-01-18,False,-0.09898,1,True,"total_units_sold, seasonal_index, economic_index, n_orders, total_impressions",0,,
2024-01-19,False,-0.0777,1,True,"total_conversions_marketing, economic_index, pages_per_session, avg_roas, total_attributed_revenue_usd",0,,
2024-01-20,False,-0.09078,1,True,"total_spend_usd, economic_index, seasonal_index, n_orders, pages_per_session",0,,
2024-01-21,False,-0.09025,1,True,"pages_per_session, total_clicks, seasonal_index, economic_index, avg_roas",0,,
2024-01-22,False,-0.07997,1,True,"n_unique_customers, economic_index, n_orders, total_spend_usd, seasonal_index",0,,
2024-01-23,False,-0.09857,1,True,"total_spend_usd, total_units_sold, seasonal_index, n_orders, economic_index",0,,
2024-01-24,False,-0.09354,1,True,"total_units_sold, total_spend_usd, total_clicks, seasonal_index, total_impressions",0,,
2024-01-25,False,-0.07072,1,True,"total_conversions_marketing, bounce_rate, total_units_sold, total_clicks, seasonal_index",0,,
2024-01-26,False,-0.09875,1,True,"n_reorders, total_spend_usd, seasonal_index, total_clicks, n_orders",0,,
2024-01-27,False,-0.09181,1,True,"seasonal_index, total_conversions_marketing, n_orders, total_clicks, total_attributed_revenue_usd",0,,
2024-01-28,False,-0.09379,1,True,"n_reorders, seasonal_index, n_orders, total_stock_on_hand, inventory_health",0,,
2024-01-29,False,-0.09366,1,True,"n_orders, total_clicks, total_impressions, marketing_pressure, conversion_rate",0,,
2024-01-30,False,-0.01331,1,True,"avg_roas, total_attributed_revenue_usd, n_orders, total_conversions_marketing, pages_per_session",0,,
2024-01-31,True,0.0098,-1,True,"total_attributed_revenue_usd, avg_roas, total_conversions_marketing, n_unique_customers, bounce_rate",0,,
2024-02-01,False,-0.08397,1,True,"n_unique_customers, n_orders, marketing_pressure, conversion_rate, seasonal_index",0,,
2024-02-02,False,-0.08549,1,True,"total_attributed_revenue_usd, avg_roas, total_clicks, total_conversions_marketing, economic_index",0,,
2024-02-03,False,-0.07349,1,True,"n_orders, pages_per_session, n_reorders, economic_index, n_returns",0,,
2024-02-04,False,-0.05066,1,True,"avg_session_duration_sec, n_orders, economic_index, n_returns, total_conversions_marketing",0,,
2024-02-05,False,-0.01951,1,True,"economic_index, n_orders, total_stock_on_hand, inventory_health, total_spend_usd",0,,
2024-02-06,False,-0.05469,1,True,"pages_per_session, economic_index, n_orders, consumer_sentiment, total_units_sold",0,,
2024-02-07,False,-0.02032,1,True,"economic_index, bounce_rate, total_units_sold, n_unique_customers, total_clicks",0,,
2024-02-08,False,-0.06238,1,True,"avg_session_duration_sec, economic_index, consumer_sentiment, n_orders, total_revenue_usd",1,economic_sentiment_drop,aov
2024-02-09,False,-0.0855,1,True,"total_clicks, economic_index, consumer_sentiment, n_unique_customers, n_orders",0,,
2024-02-10,False,-0.07442,1,True,"total_impressions, total_spend_usd, total_conversions_marketing, consumer_sentiment, total_clicks",0,,
2024-02-11,False,-0.07957,1,True,"pages_per_session, consumer_sentiment, total_impressions, total_clicks, economic_index",0,,
2024-02-12,False,-0.09659,1,True,"economic_index, consumer_sentiment, total_impressions, total_units_sold, n_unique_customers",0,,
2024-02-13,False,-0.07836,1,True,"economic_index, consumer_sentiment, n_orders, pages_per_session, total_clicks",0,,
2024-02-14,False,-0.0762,1,True,"consumer_sentiment, total_clicks, total_impressions, avg_session_duration_sec, pages_per_session",0,,
2024-02-15,False,-0.09571,1,True,"consumer_sentiment, total_clicks, total_spend_usd, total_impressions, economic_index",0,,
2024-02-16,False,-0.09926,1,True,"consumer_sentiment, economic_index, return_rate, pages_per_session, total_impressions",0,,
2024-02-17,False,-0.06539,1,True,"pages_per_session, consumer_sentiment, avg_session_duration_sec, bounce_rate, economic_index",0,,
2024-02-18,False,-0.06843,1,True,"consumer_sentiment, bounce_rate, avg_session_duration_sec, total_impressions, return_rate",0,,
2024-02-19,False,-0.09137,1,True,"consumer_sentiment, return_rate, avg_session_duration_sec, total_conversions_marketing, total_clicks",0,,
2024-02-20,False,-0.07991,1,True,"consumer_sentiment, return_rate, total_spend_usd, avg_roas, total_conversions_marketing",0,,
2024-02-21,False,-0.08477,1,True,"consumer_sentiment, return_rate, pages_per_session, n_returns, total_spend_usd",0,,
2024-02-22,False,-0.10435,1,True,"consumer_sentiment, n_unique_customers, total_spend_usd, total_conversions_marketing, total_impressions",0,,
2024-02-23,False,-0.11271,1,True,"consumer_sentiment, total_units_sold, total_impressions, n_unique_customers, total_clicks",0,,
2024-02-24,False,-0.10064,1,True,"avg_session_duration_sec, n_unique_customers, total_spend_usd, consumer_sentiment, total_impressions",0,,
2024-02-25,False,-0.10069,1,True,"total_conversions_marketing, total_units_sold, total_clicks, bounce_rate, economic_index",0,,
2024-02-26,False,-0.08927,1,True,"bounce_rate, total_impressions, n_reorders, marketing_pressure, conversion_rate",0,,
2024-02-27,False,-0.02942,1,True,"n_stockouts, total_clicks, total_attributed_revenue_usd, avg_roas, total_conversions_marketing",0,,
2024-02-28,False,-0.08072,1,True,"avg_session_duration_sec, bounce_rate, n_reorders, consumer_sentiment, total_conversions_marketing",0,,
2024-02-29,False,-0.09168,1,True,"bounce_rate, n_reorders, total_impressions, consumer_sentiment, marketing_pressure",0,,
2024-03-01,False,-0.11054,1,True,"consumer_sentiment, avg_session_duration_sec, bounce_rate, total_units_sold, total_conversions_marketing",0,,
2024-03-02,False,-0.09869,1,True,"avg_session_duration_sec, consumer_sentiment, total_units_sold, total_impressions, bounce_rate",0,,
2024-03-03,False,-0.0823,1,True,"total_clicks, n_reorders, total_impressions, total_units_sold, inventory_health",0,,
2024-03-04,False,-0.11379,1,True,"avg_session_duration_sec, bounce_rate, total_units_sold, avg_roas, total_attributed_revenue_usd",0,,
2024-03-05,False,-0.10694,1,True,"total_spend_usd, total_impressions, total_conversions_marketing, total_attributed_revenue_usd, avg_roas",0,,
2024-03-06,False,-0.10429,1,True,"bounce_rate, pages_per_session, n_reorders, marketing_pressure, conversion_rate",0,,
2024-03-07,False,-0.12171,1,True,"avg_session_duration_sec, total_clicks, total_units_sold, n_unique_customers, marketing_pressure",0,,
2024-03-08,False,-0.0958,1,True,"total_clicks, total_impressions, avg_session_duration_sec, total_conversions_marketing, avg_roas",0,,
2024-03-09,False,-0.09089,1,True,"n_unique_customers, bounce_rate, marketing_pressure, conversion_rate, economic_index",0,,
2024-03-10,False,-0.08069,1,True,"pages_per_session, economic_index, total_clicks, total_impressions, n_reorders",0,,
2024-03-11,False,-0.05815,1,True,"avg_roas, total_conversions_marketing, total_attributed_revenue_usd, total_units_sold, total_spend_usd",0,,
2024-03-12,False,-0.09535,1,True,"bounce_rate, total_spend_usd, inventory_health, total_stock_on_hand, total_conversions_marketing",0,,
2024-03-13,False,-0.12209,1,True,"inventory_health, total_stock_on_hand, total_clicks, total_conversions_marketing, total_attributed_revenue_usd",0,,
2024-03-14,False,-0.11705,1,True,"inventory_health, total_stock_on_hand, total_clicks, n_unique_customers, bounce_rate",0,,
2024-03-15,False,-0.02119,1,True,"n_orders, n_returns, bounce_rate, n_unique_customers, total_units_sold",1,inventory_stockout,sales_volume
2024-03-16,False,-0.10073,1,True,"inventory_health, total_stock_on_hand, pages_per_session, bounce_rate, economic_index",0,,
2024-03-17,False,-0.10515,1,True,"avg_session_duration_sec, total_stock_on_hand, inventory_health, total_impressions, total_spend_usd",0,,
2024-03-18,False,-0.10094,1,True,"pages_per_session, marketing_pressure, conversion_rate, bounce_rate, total_clicks",0,,
2024-03-19,False,-0.09128,1,True,"avg_session_duration_sec, total_units_sold, bounce_rate, n_unique_customers, total_impressions",0,,
2024-03-20,False,-0.06794,1,True,"avg_session_duration_sec, pages_per_session, n_reorders, avg_roas, total_spend_usd",0,,
2024-03-21,False,-0.08501,1,True,"avg_session_duration_sec, total_spend_usd, marketing_pressure, total_impressions, conversion_rate",0,,
2024-03-22,False,-0.11868,1,True,"bounce_rate, marketing_pressure, conversion_rate, n_reorders, total_impressions",0,,
2024-03-23,False,-0.08708,1,True,"bounce_rate, n_reorders, pages_per_session, total_impressions, marketing_pressure",0,,
2024-03-24,False,-0.0886,1,True,"total_stock_on_hand, inventory_health, total_impressions, avg_session_duration_sec, pages_per_session",0,,
2024-03-25,False,-0.09571,1,True,"inventory_health, total_stock_on_hand, total_clicks, total_conversions_marketing, total_impressions",0,,
2024-03-26,False,-0.08939,1,True,"inventory_health, total_stock_on_hand, total_impressions, bounce_rate, total_clicks",0,,
