date,kpi,tier,actual_value,yhat,yhat_lower,yhat_upper,interval_width_abs,interval_width_pct,deviation_pct,direction,method_c_flag,anomaly_flag,anomaly_event,anomaly_kpi
2024-01-01,total_revenue_usd,1,10670.0,10519.9771,4349.1397,15823.9778,11474.8381,109.08,1.43,NORMAL,False,0,,
2024-01-02,total_revenue_usd,1,11219.0,11035.027,6359.1909,16333.7721,9974.5813,90.39,1.67,NORMAL,False,0,,
2024-01-03,total_revenue_usd,1,10950.54,10753.269,5245.46,16022.3979,10776.9379,100.22,1.83,NORMAL,False,0,,
2024-01-04,total_revenue_usd,1,10209.82,10058.8946,4374.6372,15470.8625,11096.2253,110.31,1.5,NORMAL,False,0,,
2024-01-05,total_revenue_usd,1,10241.14,11101.2955,5577.3012,16478.1765,10900.8753,98.19,-7.75,NORMAL,False,0,,
2024-01-06,total_revenue_usd,1,10221.03,10235.3277,4852.5211,15877.0054,11024.4843,107.71,-0.14,NORMAL,False,0,,
2024-01-07,total_revenue_usd,1,9183.92,9058.1234,3434.7684,14001.3435,10566.5751,116.65,1.39,NORMAL,False,0,,
2024-01-08,total_revenue_usd,1,10055.4,10598.2648,5641.0069,15944.0918,10303.0849,97.21,-5.12,NORMAL,False,0,,
2024-01-09,total_revenue_usd,1,9513.04,9739.0109,4140.3069,15449.574,11309.2671,116.12,-2.32,NORMAL,False,0,,
2024-01-10,total_revenue_usd,1,9479.13,9675.3355,4420.3635,15195.0841,10774.7206,111.36,-2.03,NORMAL,False,0,,
2024-01-11,total_revenue_usd,1,9269.46,9456.8794,3893.782,15406.4498,11512.6679,121.74,-1.98,NORMAL,False,0,,
2024-01-12,total_revenue_usd,1,10078.08,11402.7153,6055.9417,16729.5364,10673.5947,93.61,-11.62,NORMAL,False,0,,
2024-01-13,total_revenue_usd,1,9892.86,10131.4581,4939.296,15574.2594,10634.9633,104.97,-2.36,NORMAL,False,0,,
2024-01-14,total_revenue_usd,1,9778.16,10007.813,4635.2896,15547.5815,10912.2919,109.04,-2.29,NORMAL,False,0,,
2024-01-15,total_revenue_usd,1,9442.51,9906.995,4373.0272,15814.6378,11441.6106,115.49,-4.69,NORMAL,False,0,,
2024-01-16,total_revenue_usd,1,10078.39,10329.8994,4948.5623,15855.5802,10907.018,105.59,-2.43,NORMAL,False,0,,
2024-01-17,total_revenue_usd,1,9522.13,9529.6323,4129.6724,15082.7618,10953.0893,114.94,-0.08,NORMAL,False,0,,
2024-01-18,total_revenue_usd,1,9550.13,9434.5962,3624.4398,15126.7147,11502.2748,121.92,1.22,NORMAL,False,0,,
2024-01-19,total_revenue_usd,1,9526.69,10256.9392,4778.7951,15393.2308,10614.4356,103.49,-7.12,NORMAL,False,0,,
2024-01-20,total_revenue_usd,1,9400.56,9091.4444,3560.7513,14481.7302,10920.9789,120.12,3.4,NORMAL,False,0,,
2024-01-21,total_revenue_usd,1,9703.48,9354.8484,3770.2589,14223.7767,10453.5177,111.74,3.73,NORMAL,False,0,,
2024-01-22,total_revenue_usd,1,9114.84,8931.8515,3820.5814,14408.542,10587.9605,118.54,2.05,NORMAL,False,0,,
2024-01-23,total_revenue_usd,1,9590.39,9161.0825,3305.5233,14765.2322,11459.7089,125.09,4.69,NORMAL,False,0,,
2024-01-24,total_revenue_usd,1,10069.11,9572.7151,4274.3738,14682.7623,10408.3885,108.73,5.19,NORMAL,False,0,,
2024-01-25,total_revenue_usd,1,10079.38,9533.9056,4194.4381,14684.732,10490.2939,110.03,5.72,NORMAL,False,0,,
2024-01-26,total_revenue_usd,1,10393.4,10838.0548,5327.3145,16521.6786,11194.3641,103.29,-4.1,NORMAL,False,0,,
2024-01-27,total_revenue_usd,1,10127.23,9501.402,3786.677,15138.4171,11351.7401,119.47,6.59,NORMAL,False,0,,
2024-01-28,total_revenue_usd,1,9992.18,9306.7311,4493.1115,15402.2056,10909.0941,117.22,7.37,NORMAL,False,0,,
2024-01-29,total_revenue_usd,1,9414.43,8971.5872,3776.8743,14031.4701,10254.5958,114.3,4.94,NORMAL,False,0,,
2024-01-30,total_revenue_usd,1,9099.75,8285.7729,2403.6496,13703.5616,11299.9121,136.38,9.82,NORMAL,False,0,,
2024-01-31,total_revenue_usd,1,9379.45,8566.4377,3473.9951,14005.6411,10531.646,122.94,9.49,NORMAL,False,0,,
2024-02-01,total_revenue_usd,1,9187.64,8306.866,2822.0664,14097.1137,11275.0473,135.73,10.6,NORMAL,False,0,,
2024-02-02,total_revenue_usd,1,9641.98,9817.0593,4296.2055,15338.5617,11042.3562,112.48,-1.78,NORMAL,False,0,,
2024-02-03,total_revenue_usd,1,8880.57,8006.4173,2279.4937,13571.7128,11292.2191,141.04,10.92,NORMAL,False,0,,
2024-02-04,total_revenue_usd,1,8722.86,7817.4053,2082.9134,13032.2369,10949.3235,140.06,11.58,NORMAL,False,0,,
2024-02-05,total_revenue_usd,1,8655.91,8156.804,2456.3763,13505.0513,11048.675,135.45,6.12,NORMAL,False,0,,
2024-02-06,total_revenue_usd,1,9030.57,8405.1928,2600.6292,13865.0002,11264.371,134.02,7.44,NORMAL,False,0,,
2024-02-07,total_revenue_usd,1,8815.01,8056.1701,3037.5101,13486.9096,10449.3995,129.71,9.42,NORMAL,False,0,,
2024-02-08,total_revenue_usd,1,8796.86,8093.7343,2486.0128,13280.1418,10794.129,133.36,8.69,NORMAL,False,1,economic_sentiment_drop,aov
2024-02-09,total_revenue_usd,1,9488.65,10011.1544,4802.0392,15220.785,10418.7459,104.07,-5.22,NORMAL,False,0,,
2024-02-10,total_revenue_usd,1,9933.07,9691.5156,4446.8614,14942.385,10495.5236,108.3,2.49,NORMAL,False,0,,
2024-02-11,total_revenue_usd,1,9849.33,9613.7635,4084.8672,15000.4804,10915.6132,113.54,2.45,NORMAL,False,0,,
2024-02-12,total_revenue_usd,1,9714.89,9857.4423,4311.6801,15228.8207,10917.1407,110.75,-1.45,NORMAL,False,0,,
2024-02-13,total_revenue_usd,1,9056.3,8794.8921,3476.3586,14125.8997,10649.541,121.09,2.97,NORMAL,False,0,,
2024-02-14,total_revenue_usd,1,10182.28,10110.0657,4541.977,15541.9116,10999.9347,108.8,0.71,NORMAL,False,0,,
2024-02-15,total_revenue_usd,1,10524.24,10560.9576,5115.1887,16196.5583,11081.3696,104.93,-0.35,NORMAL,False,0,,
2024-02-16,total_revenue_usd,1,10174.08,11110.308,5479.9615,16748.2251,11268.2636,101.42,-8.43,NORMAL,False,0,,
2024-02-17,total_revenue_usd,1,10391.66,10416.845,4798.8478,15932.271,11133.4232,106.88,-0.24,NORMAL,False,0,,
2024-02-18,total_revenue_usd,1,11288.82,11424.9327,6151.8283,16510.2037,10358.3753,90.66,-1.19,NORMAL,False,0,,
2024-02-19,total_revenue_usd,1,11094.28,11577.5601,5875.204,17313.643,11438.439,98.8,-4.17,NORMAL,False,0,,
2024-02-20,total_revenue_usd,1,11351.98,11561.8227,6090.7155,16893.5146,10802.7992,93.44,-1.81,NORMAL,False,0,,
2024-02-21,total_revenue_usd,1,11700.09,11817.0612,6461.8355,17626.986,11165.1505,94.48,-0.99,NORMAL,False,0,,
2024-02-22,total_revenue_usd,1,11434.98,11444.0004,6171.9142,16767.2951,10595.3809,92.58,-0.08,NORMAL,False,0,,
2024-02-23,total_revenue_usd,1,10820.93,11657.8274,5942.3714,17080.4519,11138.0805,95.54,-7.18,NORMAL,False,0,,
2024-02-24,total_revenue_usd,1,10685.76,10457.1948,5014.8651,15599.0915,10584.2263,101.21,2.19,NORMAL,False,0,,
2024-02-25,total_revenue_usd,1,10694.87,10415.6841,5109.0091,15440.1049,10331.0958,99.19,2.68,NORMAL,False,0,,
2024-02-26,total_revenue_usd,1,11223.34,11343.7005,6356.2954,16997.736,10641.4406,93.81,-1.06,NORMAL,False,0,,
2024-02-27,total_revenue_usd,1,11375.52,11188.6519,5654.9123,16682.9774,11028.0651,98.56,1.67,NORMAL,False,0,,
2024-02-28,total_revenue_usd,1,11883.07,11592.9613,6490.8765,17079.5253,10588.6489,91.34,2.5,NORMAL,False,0,,
2024-02-29,total_revenue_usd,1,12000.2,11674.0071,6432.8927,16986.1718,10553.2791,90.4,2.79,NORMAL,False,0,,
2024-03-01,total_revenue_usd,1,11860.9,12455.4133,7028.9481,17545.5669,10516.6188,84.43,-4.77,NORMAL,False,0,,
2024-03-02,total_revenue_usd,1,11428.42,10964.9298,5574.2548,16439.4155,10865.1607,99.09,4.23,NORMAL,False,0,,
2024-03-03,total_revenue_usd,1,11950.58,11502.9291,6320.8785,16787.1901,10466.3116,90.99,3.89,NORMAL,False,0,,
2024-03-04,total_revenue_usd,1,12113.32,12070.011,6763.7008,17314.5439,10550.8431,87.41,0.36,NORMAL,False,0,,
