anomaly_id,date,kpi,tier,severity,votes,direction,actual_value,expected_value,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,root_cause_confidence,confidence_tier,ci_ran,ci_relative_effect_pct,ci_effect_significant,ci_confidence,dw_ran,dw_treatment,dw_effect_pct,dw_refutation_passed,dw_p_value,is_externally_driven,external_driver_type,external_driver_detail,snap_economic_index,snap_marketing_pressure,snap_seasonal_index,snap_consumer_sentiment,actionability_score,actionability_label,escalation_suppressed,suppression_reason,rca_completeness_score,layer4_priority_flag,rca_narrative,revenue_at_risk,margin_impact,customer_impact,monthly_shortfall,impact_pct_of_plan,impact_narrative,revenue_impact_factor,tier_factor,confidence_factor,recoverability_factor,external_factor,priority_score,priority_band,priority_rank
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,2,DOWN,7563.43,11903.66,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,0.9,HIGH,False,,,,True,n_orders,-33.47,True,0.030857,False,none,,0.18358,-0.08937,-0.01289,0.05695,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] total_revenue_usd moved DOWN -36.5% on 2024-03-15. Chain: total_revenue_usd -> n_orders. Suspected driver: n_orders. Causal confidence: 90%. No external suppression. Fully actionable.,30381.61,15093.04,381,130206.9,37.0471,"Revenue is tracking $30,382 below forecast for the week. At current trajectory, this represents a $130,207 monthly shortfall — 37.0% below plan. Approximately 381 customers experienced degraded revenue.",0.812256,1.0,0.9,1.0,1.0,0.91429,HIGH,13
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,2,UP,14093.26,13220.8257,6.6,1.7937,0,,total_revenue_usd -> n_orders -> sessions,sessions,1.8606,UP,2,"avg_discount_pct, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,0.23,True,0.0,False,none,,0.17425,0.29856,0.06953,-0.00695,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] total_revenue_usd moved UP +6.6% on 2024-04-17. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.,-6107.04,-3033.87,77,-26173.03,-7.4469,"Revenue surged +6.6% above forecast. Weekly revenue uplift: +$6,107 (+$26,173 monthly, 7.4% above plan). Approximately 77 customers contributed to the uplift.",0.685998,1.0,0.9,1.0,1.0,0.870099,HIGH,29
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,2,UP,14538.37,12447.5057,16.8,2.1331,1,website_outage,total_revenue_usd -> n_orders -> sessions,sessions,-2.2609,DOWN,2,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",0.9,HIGH,False,,,,True,sessions,-1.15,True,0.0,False,none,,0.17751,0.36144,0.14997,-0.00756,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] total_revenue_usd moved UP +16.8% on 2024-06-18. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.,-14636.05,-7270.93,184,-62725.93,-17.8471,"Revenue surged +16.8% above forecast. Weekly revenue uplift: +$14,636 (+$62,726 monthly, 17.8% above plan). Approximately 184 customers contributed to the uplift.",0.754781,1.0,0.9,1.0,1.0,0.894173,HIGH,19
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,2,UP,14454.71,13516.6257,6.94,1.1521,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.6372,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,0.9,HIGH,False,,,,True,avg_order_value_usd,3.7,True,0.003317,False,none,,0.19968,0.26634,0.14983,-0.00467,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] total_revenue_usd moved UP +6.9% on 2024-06-22. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. No external suppression. Fully actionable.,-6566.59,-3262.16,82,-28142.53,-8.0073,"Revenue surged +6.9% above forecast. Weekly revenue uplift: +$6,567 (+$28,143 monthly, 8.0% above plan). Approximately 82 customers contributed to the uplift.",0.691708,1.0,0.9,1.0,1.0,0.872098,HIGH,28
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,2,UP,16154.57,15501.5014,4.21,1.4968,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.7004,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,0.9,HIGH,False,,,,True,avg_order_value_usd,1.92,True,0.003317,False,none,,0.39181,0.10941,0.12539,-0.0161,1.0,HIGH,False,,2,INVESTIGATE,[MEDIUM] total_revenue_usd moved UP +4.2% on 2024-07-23. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. No external suppression. Fully actionable.,-4571.48,-2271.03,57,-19592.06,-5.5744,"Revenue surged +4.2% above forecast. Weekly revenue uplift: +$4,571 (+$19,592 monthly, 5.6% above plan). Approximately 57 customers contributed to the uplift.",0.663208,1.0,0.9,1.0,1.0,0.862123,HIGH,32
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,3,UP,22652.0,15196.3457,49.06,2.267,1,back_to_school_surge,total_revenue_usd -> n_orders -> sessions,sessions,1.508,UP,2,"n_orders, sessions","n_orders, total_revenue_usd",0.96,HIGH,True,0.31,True,1.0,True,sessions,0.11,True,0.0,False,none,,0.20739,0.19968,0.07294,0.10939,1.0,HIGH,False,,3,ESCALATE,[HIGH] total_revenue_usd moved UP +49.1% on 2024-08-20. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 96%. No external suppression. Fully actionable.,-52189.58,-25926.84,654,-223669.63,-63.6396,"Revenue surged +49.1% above forecast. Weekly revenue uplift: +$52,190 (+$223,670 monthly, 63.6% above plan). Approximately 654 customers contributed to the uplift.",0.854833,1.0,0.96,1.0,1.0,0.941192,HIGH,4
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,3,UP,66133.01,20422.0,223.83,2.2671,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2673,UP,1,"avg_order_value_usd, avg_roas, inventory_health, n_orders",total_revenue_usd,0.96,HIGH,True,1.84,True,1.0,True,avg_order_value_usd,129.96,True,0.003317,False,none,,0.1984,0.05041,-0.14141,-0.04948,1.0,HIGH,False,,3,ESCALATE,[HIGH] total_revenue_usd moved UP +223.8% on 2024-11-29. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 96%. No external suppression. Fully actionable.,-319977.07,-158958.85,4012,-1371330.3,-390.1776,"Revenue surged +223.8% above forecast. Weekly revenue uplift: +$319,977 (+$1,371,330 monthly, 390.2% above plan). Approximately 4,012 customers contributed to the uplift.",0.997536,1.0,0.96,1.0,1.0,0.991138,HIGH,1
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,3,UP,34476.87,23829.42,44.68,0.5254,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5254,UP,0,,,0.9192,HIGH,True,0.4,False,0.9192,False,,,,,False,none,,0.20865,0.06738,-0.14381,-0.06632,1.0,HIGH,False,,1,ESCALATE,[HIGH] total_revenue_usd moved UP +44.7% on 2024-12-02. Root: total_revenue_usd (no deeper driver above watch threshold). Causal confidence: 92%. No external suppression. Fully actionable.,-74532.15,-37026.23,935,-319423.5,-90.8839,"Revenue surged +44.7% above forecast. Weekly revenue uplift: +$74,532 (+$319,424 monthly, 90.9% above plan). Approximately 935 customers contributed to the uplift.",0.882876,1.0,0.9192,1.0,1.0,0.942847,HIGH,3
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,3,UP,61672.61,17791.98,246.63,2.2677,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2677,UP,1,"avg_order_value_usd, n_orders, total_clicks",total_revenue_usd,0.96,HIGH,True,0.86,True,1.0,True,avg_order_value_usd,153.62,True,0.003317,False,none,,0.03214,-0.03777,-0.13961,-0.02767,1.0,HIGH,False,,3,ESCALATE,[HIGH] total_revenue_usd moved UP +246.6% on 2025-11-28. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 96%. No external suppression. Fully actionable.,-307164.41,-152593.75,3851,-1316418.9,-374.554,"Revenue surged +246.6% above forecast. Weekly revenue uplift: +$307,164 (+$1,316,419 monthly, 374.6% above plan). Approximately 3,851 customers contributed to the uplift.",0.99432,1.0,0.96,1.0,1.0,0.990012,HIGH,2
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,2,UP,32076.65,21065.7829,52.27,0.5619,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5619,UP,0,inventory_health,,,UNAVAILABLE,False,,,,False,,,,,False,none,,0.01142,0.03057,-0.14225,-0.04464,1.0,HIGH,False,,0,INVESTIGATE,[MEDIUM] total_revenue_usd moved UP +52.3% on 2025-12-01. Root: total_revenue_usd (no deeper driver above watch threshold). No external suppression. Fully actionable.,-77076.07,-38290.0,966,-330326.01,-93.986,"Revenue surged +52.3% above forecast. Weekly revenue uplift: +$77,076 (+$330,326 monthly, 94.0% above plan). Approximately 966 customers contributed to the uplift.",0.885517,1.0,0.5,1.0,1.0,0.859931,HIGH,33
