date,n_orders,total_revenue_usd,avg_order_value_usd,avg_discount_pct,n_unique_customers,n_returns,return_rate,total_spend_usd,total_impressions,total_clicks,total_conversions_marketing,total_attributed_revenue_usd,avg_roas,sessions,unique_visitors,bounce_rate,pages_per_session,avg_session_duration_sec,conversion_rate,conversions_web,total_stock_on_hand,total_units_sold,n_stockouts,n_reorders,economic_index,marketing_pressure,consumer_sentiment,seasonal_index,inventory_health,anomaly_flag,anomaly_event,anomaly_kpi,n_orders_rolling_mean,n_orders_rolling_std,n_orders_z_score,n_orders_wow_change,n_orders_mom_change,n_orders_lag_1,total_revenue_usd_rolling_mean,total_revenue_usd_rolling_std,total_revenue_usd_z_score,total_revenue_usd_wow_change,total_revenue_usd_mom_change,total_revenue_usd_lag_1,avg_order_value_usd_rolling_mean,avg_order_value_usd_rolling_std,avg_order_value_usd_z_score,avg_order_value_usd_wow_change,avg_order_value_usd_mom_change,avg_order_value_usd_lag_1,avg_discount_pct_rolling_mean,avg_discount_pct_rolling_std,avg_discount_pct_z_score,avg_discount_pct_wow_change,avg_discount_pct_mom_change,avg_discount_pct_lag_1,n_unique_customers_rolling_mean,n_unique_customers_rolling_std,n_unique_customers_z_score,n_unique_customers_wow_change,n_unique_customers_mom_change,n_unique_customers_lag_1,n_returns_rolling_mean,n_returns_rolling_std,n_returns_z_score,n_returns_wow_change,n_returns_mom_change,n_returns_lag_1,return_rate_rolling_mean,return_rate_rolling_std,return_rate_z_score,return_rate_wow_change,return_rate_mom_change,return_rate_lag_1,total_spend_usd_rolling_mean,total_spend_usd_rolling_std,total_spend_usd_z_score,total_spend_usd_wow_change,total_spend_usd_mom_change,total_spend_usd_lag_1,total_impressions_rolling_mean,total_impressions_rolling_std,total_impressions_z_score,total_impressions_wow_change,total_impressions_mom_change,total_impressions_lag_1,total_clicks_rolling_mean,total_clicks_rolling_std,total_clicks_z_score,total_clicks_wow_change,total_clicks_mom_change,total_clicks_lag_1,total_conversions_marketing_rolling_mean,total_conversions_marketing_rolling_std,total_conversions_marketing_z_score,total_conversions_marketing_wow_change,total_conversions_marketing_mom_change,total_conversions_marketing_lag_1,total_attributed_revenue_usd_rolling_mean,total_attributed_revenue_usd_rolling_std,total_attributed_revenue_usd_z_score,total_attributed_revenue_usd_wow_change,total_attributed_revenue_usd_mom_change,total_attributed_revenue_usd_lag_1,avg_roas_rolling_mean,avg_roas_rolling_std,avg_roas_z_score,avg_roas_wow_change,avg_roas_mom_change,avg_roas_lag_1,sessions_rolling_mean,sessions_rolling_std,sessions_z_score,sessions_wow_change,sessions_mom_change,sessions_lag_1,unique_visitors_rolling_mean,unique_visitors_rolling_std,unique_visitors_z_score,unique_visitors_wow_change,unique_visitors_mom_change,unique_visitors_lag_1,bounce_rate_rolling_mean,bounce_rate_rolling_std,bounce_rate_z_score,bounce_rate_wow_change,bounce_rate_mom_change,bounce_rate_lag_1,pages_per_session_rolling_mean,pages_per_session_rolling_std,pages_per_session_z_score,pages_per_session_wow_change,pages_per_session_mom_change,pages_per_session_lag_1,avg_session_duration_sec_rolling_mean,avg_session_duration_sec_rolling_std,avg_session_duration_sec_z_score,avg_session_duration_sec_wow_change,avg_session_duration_sec_mom_change,avg_session_duration_sec_lag_1,conversion_rate_rolling_mean,conversion_rate_rolling_std,conversion_rate_z_score,conversion_rate_wow_change,conversion_rate_mom_change,conversion_rate_lag_1,conversions_web_rolling_mean,conversions_web_rolling_std,conversions_web_z_score,conversions_web_wow_change,conversions_web_mom_change,conversions_web_lag_1,total_stock_on_hand_rolling_mean,total_stock_on_hand_rolling_std,total_stock_on_hand_z_score,total_stock_on_hand_wow_change,total_stock_on_hand_mom_change,total_stock_on_hand_lag_1,total_units_sold_rolling_mean,total_units_sold_rolling_std,total_units_sold_z_score,total_units_sold_wow_change,total_units_sold_mom_change,total_units_sold_lag_1,n_stockouts_rolling_mean,n_stockouts_rolling_std,n_stockouts_z_score,n_stockouts_wow_change,n_stockouts_mom_change,n_stockouts_lag_1,n_reorders_rolling_mean,n_reorders_rolling_std,n_reorders_z_score,n_reorders_wow_change,n_reorders_mom_change,n_reorders_lag_1,inventory_health_rolling_mean,inventory_health_rolling_std,inventory_health_z_score,inventory_health_wow_change,inventory_health_mom_change,inventory_health_lag_1
2024-01-01,194,10670.0,55.0,0.07,153,15,0.0773,12149.64,2223769,84269,2479,486130.85,40.012,7706,6486,0.411,3.19,162.9,0.025,192,50000,326,0,1,0.0,0.0,0.0,-0.14668,0.0,0,,,194.0,,,,,,10670.0,,,,,,55.0,,,,,,0.07,,,,,,153.0,,,,,,15.0,,,,,,0.0773,,,,,,12149.64,,,,,,2223769.0,,,,,,84269.0,,,,,,2479.0,,,,,,486130.85,,,,,,40.012,,,,,,7706.0,,,,,,6486.0,,,,,,0.411,,,,,,3.19,,,,,,162.9,,,,,,0.025,,,,,,192.0,,,,,,50000.0,,,,,,326.0,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,
2024-01-02,197,11219.0,56.95,0.07,158,15,0.0761,12623.89,2158313,52190,6109,1117332.31,88.509,7759,6552,0.411,3.39,189.3,0.0246,190,50045,275,0,2,0.06497,-0.02917,0.05366,-0.14612,0.00303,0,,,195.5,2.1213,0.7071,,,194.0,10944.5,388.2016,0.7071,,,10670.0,55.975,1.3789,0.7071,,,55.0,0.07,0.0,,,,0.07,155.5,3.5355,0.7071,,,153.0,15.0,0.0,,,,15.0,0.0767,0.0008,-0.7071,,,0.0773,12386.765,335.3454,0.7071,,,12149.64,2191041.0,46284.3815,-0.7071,,,2223769.0,68229.5,22683.2784,-0.7071,,,84269.0,4294.0,2566.7976,0.7071,,,2479.0,801731.58,446326.8327,0.7071,,,486130.85,64.2605,34.2926,0.7071,,,40.012,7732.5,37.4767,0.7071,,,7706.0,6519.0,46.669,0.7071,,,6486.0,0.411,0.0,,,,0.411,3.29,0.1414,0.7071,,,3.19,176.1,18.6676,0.7071,,,162.9,0.0248,0.0003,-0.7071,,,0.025,191.0,1.4142,-0.7071,,,192.0,50022.5,31.8198,0.7071,,,50000.0,300.5,36.0624,-0.7071,,,326.0,0.0,0.0,,,,0.0,1.5,0.7071,0.7071,,,1.0,0.0015,0.0021,0.7071,,,0.0
2024-01-03,195,10950.54,56.16,0.07,140,15,0.0769,11628.2,1864903,51258,5293,804760.51,69.208,7739,5958,0.402,3.29,183.5,0.0245,189,50490,307,0,1,0.03855,-0.03019,0.06407,-0.14551,0.03267,0,,,195.3333,1.5275,-0.2182,,,197.0,10946.5133,274.5221,0.0147,,,11219.0,56.0367,0.9808,0.1257,,,56.95,0.07,0.0,,,,0.07,150.3333,9.2916,-1.1121,,,158.0,15.0,0.0,,,,15.0,0.0768,0.0006,0.2182,,,0.0761,12133.91,498.0313,-1.0154,,,12623.89,2082328.3333,191118.9516,-1.1376,,,2158313.0,62572.3333,18795.6422,-0.602,,,52190.0,4627.0,1904.4401,0.3497,,,6109.0,802741.2233,315605.5749,0.0064,,,1117332.31,65.9097,24.4162,0.1351,,,88.509,7734.6667,26.7644,0.1619,,,7759.0,6332.0,325.5703,-1.1488,,,6552.0,0.408,0.0052,-1.1547,,,0.411,3.29,0.1,-0.0,,,3.39,178.5667,13.8742,0.3556,,,189.3,0.0247,0.0003,-0.7559,,,0.0246,190.3333,1.5275,-0.8729,,,190.0,50178.3333,270.8474,1.1507,,,50045.0,302.6667,25.7747,0.1681,,,275.0,0.0,0.0,,,,0.0,1.3333,0.5774,-0.5774,,,2.0,0.0119,0.0181,1.1506,,,0.003
2024-01-04,184,10209.82,55.49,0.07,146,14,0.0761,12705.53,2091582,86234,5682,744334.0,58.583,7723,5733,0.474,2.95,199.9,0.0223,172,49534,356,0,0,0.01627,-0.17671,0.06376,-0.14486,-0.03101,0,,,192.5,5.8023,-1.4649,,,195.0,10762.34,431.1854,-1.2814,,,10950.54,55.9,0.8462,-0.4845,,,56.16,0.07,0.0,,,,0.07,149.25,7.8899,-0.4119,,,140.0,14.75,0.5,-1.5,,,15.0,0.0766,0.0006,-0.8333,,,0.0769,12276.815,497.0354,0.8625,,,11628.2,2084641.75,156116.5484,0.0445,,,1864903.0,68487.75,19377.4627,0.9158,,,51258.0,4890.75,1642.0062,0.4819,,,5293.0,788139.4175,259340.3881,-0.1689,,,804760.51,64.078,20.2695,-0.2711,,,69.208,7731.75,22.6182,-0.3869,,,7739.0,6182.25,400.4551,-1.1218,,,5958.0,0.4245,0.0333,1.4878,,,0.402,3.205,0.1886,-1.3521,,,3.29,183.9,15.5598,1.0283,,,183.5,0.0241,0.0012,-1.4763,,,0.0245,185.75,9.2511,-1.4863,,,189.0,50017.25,390.7645,-1.2367,,,50490.0,316.0,33.9706,1.1775,,,307.0,0.0,0.0,,,,0.0,1.0,0.8165,-1.2247,,,1.0,0.0012,0.026,-1.2364,,,0.0327
2024-01-05,189,10241.14,54.19,0.07,134,15,0.0794,11597.88,1496398,66045,2865,141325.98,12.186,7689,5882,0.426,3.39,170.6,0.0243,186,50214,419,0,0,-0.02714,-0.04422,0.00467,-0.14417,0.01433,0,,,191.8,5.2631,-0.532,,,184.0,10658.1,440.1938,-0.9472,,,10209.82,55.558,1.0592,-1.2916,,,55.49,0.07,0.0,,,,0.07,146.2,9.654,-1.2637,,,146.0,14.8,0.4472,0.4472,,,14.0,0.0772,0.0014,1.6522,,,0.0761,12141.028,526.7577,-1.0311,,,12705.53,1966993.0,295779.3509,-1.591,,,2091582.0,67999.2,16816.8948,-0.1162,,,86234.0,4485.6,1686.0815,-0.9612,,,5682.0,658776.73,366219.3363,-1.413,,,744334.0,53.6996,29.098,-1.4267,,,58.583,7723.2,27.3715,-1.2495,,,7723.0,6122.2,371.8914,-0.6459,,,5733.0,0.4248,0.0288,0.0416,,,0.474,3.242,0.1831,0.8084,,,2.95,181.24,14.7295,-0.7224,,,199.9,0.0241,0.0011,0.151,,,0.0223,185.8,8.0125,0.025,,,172.0,50056.6,349.6638,0.4501,,,49534.0,336.6,54.6562,1.5076,,,356.0,0.0,0.0,,,,0.0,0.8,0.8367,-0.9562,,,0.0,0.0038,0.0233,0.4518,,,-0.031
2024-01-06,185,10221.03,55.25,0.07,115,14,0.0757,12847.0,1739808,28621,2006,129126.09,10.051,7719,6417,0.448,3.17,171.8,0.0225,173,49812,373,0,4,0.00829,-0.16534,-0.00389,-0.14344,-0.01249,0,,,190.6667,5.465,-1.0369,,,189.0,10585.255,432.267,-0.8426,,,10241.14,55.5067,0.9557,-0.2686,,,54.19,0.07,0.0,,,,0.07,141.0,15.3883,-1.6896,,,134.0,14.6667,0.5164,-1.291,,,15.0,0.0769,0.0014,-0.9005,,,0.0794,12258.69,552.3088,1.0652,,,11597.88,1929128.8333,280339.9904,-0.6753,,,1496398.0,61436.1667,22015.6036,-1.4905,,,66045.0,4072.3333,1816.3239,-1.1376,,,2865.0,570501.6233,392489.8069,-1.1246,,,141325.98,46.4248,31.5419,-1.1532,,,12.186,7722.5,24.5418,-0.1426,,,7689.0,6171.3333,353.733,0.6945,,,5882.0,0.4287,0.0275,0.704,,,0.426,3.23,0.1664,-0.3606,,,3.39,179.6667,13.7266,-0.5731,,,170.6,0.0239,0.0012,-1.1777,,,0.0243,183.6667,8.8694,-1.2026,,,186.0,50015.8333,328.3038,-0.6209,,,50214.0,342.6667,51.0947,0.5937,,,419.0,0.0,0.0,,,,0.0,1.3333,1.5055,1.7712,,,0.0,0.0011,0.0219,-0.6208,,,0.0143
2024-01-07,175,9183.92,52.48,0.07,147,14,0.08,12985.73,2155979,60312,2848,157843.43,12.155,7647,6610,0.456,2.64,186.2,0.0219,167,48409,341,0,5,-0.08402,-0.20773,-0.01433,-0.14266,-0.10606,0,,,188.4286,7.7429,-1.7343,,,185.0,10385.0643,660.4897,-1.8186,,,10221.03,55.0743,1.4387,-1.8033,,,55.25,0.07,0.0,,,,0.07,141.8571,14.2294,0.3614,,,115.0,14.5714,0.5345,-1.069,,,14.0,0.0774,0.0017,1.5574,,,0.0757,12362.5529,574.2096,1.0853,,,12847.0,1961536.0,269895.6521,0.7204,,,1739808.0,61275.5714,20101.8955,-0.0479,,,28621.0,3897.4286,1721.4342,-0.6096,,,2006.0,511550.4529,390768.7602,-0.9052,,,129126.09,41.5291,31.5729,-0.9304,,,10.051,7711.7143,36.28,-1.7837,,,7719.0,6234.0,362.9908,1.0358,,,6417.0,0.4326,0.0271,0.864,,,0.448,3.1457,0.2698,-1.8744,,,3.17,180.6,12.7716,0.4385,,,171.8,0.0236,0.0013,-1.3026,,,0.0225,181.2857,10.2586,-1.3926,,,173.0,49786.2857,677.2475,-2.0337,,,49812.0,342.4286,46.6471,-0.0306,,,373.0,0.0,0.0,,,,0.0,1.8571,1.9518,1.6102,,,4.0,-0.0142,0.0452,-2.034,,,-0.0125
2024-01-08,184,10055.4,54.65,0.07,129,14,0.0761,11172.37,1556075,36092,1243,70284.78,6.291,7706,6272,0.408,2.92,171.9,0.0227,174,48017,303,0,3,-0.0117,-0.15175,-0.0161,-0.14184,-0.1322,0,,,187.0,7.461,-0.4021,-0.0515,,175.0,10297.2643,657.1413,-0.3681,-0.0576,,9183.92,55.0243,1.4477,-0.2585,-0.0064,,52.48,0.07,0.0,,0.0,,0.07,138.4286,13.9864,-0.6741,-0.1569,,147.0,14.4286,0.5345,-0.8018,-0.0667,,14.0,0.0772,0.0018,-0.6158,-0.0155,,0.08,12222.9429,731.7862,-1.4356,-0.0804,,12985.73,1866151.1429,279584.9774,-1.1091,-0.3003,,2155979.0,54393.1429,19141.8258,-0.9561,-0.5717,,60312.0,3720.8571,1940.6109,-1.2768,-0.4986,,2848.0,452143.8714,425356.0446,-0.8977,-0.8554,,157843.43,36.7119,34.2979,-0.887,-0.8428,,12.155,7711.7143,36.28,-0.1575,0.0,,7647.0,6203.4286,346.8842,0.1977,-0.033,,6610.0,0.4321,0.0275,-0.8768,-0.0073,,0.456,3.1071,0.2815,-0.6649,-0.0846,,2.64,181.8857,11.0265,-0.9056,0.0552,,186.2,0.0233,0.0012,-0.4802,-0.092,,0.0219,178.7143,9.3401,-0.5047,-0.0938,,167.0,49503.0,937.6325,-1.5848,-0.0397,,48409.0,339.1429,48.7594,-0.7412,-0.0706,,341.0,0.0,0.0,,,,0.0,2.1429,1.9518,0.4392,2.0,,5.0,-0.0331,0.0625,-1.585,,,-0.1061
2024-01-09,177,9513.04,53.75,0.07,127,14,0.0791,12277.14,2363830,77697,5232,432770.67,35.25,7684,5940,0.419,3.0,175.9,0.0216,165,48793,402,0,2,-0.0418,-0.22375,-0.0341,-0.14098,-0.08042,0,,,184.1429,6.7929,-1.0515,-0.1015,,184.0,10053.5557,568.721,-0.9504,-0.1521,,10055.4,54.5671,1.2267,-0.6662,-0.0562,,54.65,0.07,0.0,,0.0,,0.07,134.0,11.431,-0.6124,-0.1962,,129.0,14.2857,0.488,-0.5855,-0.0667,,14.0,0.0776,0.0018,0.8169,0.0394,,0.0761,12173.4071,711.5791,0.1458,-0.0275,,11172.37,1895510.7143,322825.6394,1.4507,0.0952,,1556075.0,58037.0,20990.9862,0.9366,0.4887,,36092.0,3595.5714,1782.6139,0.918,-0.1436,,1243.0,354349.3514,309978.4598,0.253,-0.6127,,70284.78,29.1034,25.7295,0.2389,-0.6017,,6.291,7701.0,30.6213,-0.5552,-0.0097,,7706.0,6116.0,320.5095,-0.5491,-0.0934,,6272.0,0.4333,0.0267,-0.5358,0.0195,,0.408,3.0514,0.2533,-0.203,-0.115,,2.92,179.9714,10.6827,-0.3811,-0.0708,,171.9,0.0228,0.0011,-1.0821,-0.122,,0.0227,175.1429,9.0816,-1.1169,-0.1316,,174.0,49324.1429,936.4236,-0.5672,-0.025,,48017.0,357.2857,44.3423,1.0084,0.4618,,303.0,0.0,0.0,,,,0.0,2.1429,1.9518,-0.0732,0.0,,3.0,-0.045,0.0624,-0.5669,-27.5413,,-0.1322
2024-01-10,175,9479.13,54.17,0.07,117,14,0.08,12692.18,2122631,86488,2661,496441.2,39.114,7697,5825,0.405,2.97,221.7,0.0209,160,49237,398,0,3,-0.02778,-0.27543,-0.03371,-0.14008,-0.05084,0,,,181.2857,5.5592,-1.1307,-0.1026,,177.0,9843.3543,439.0811,-0.8295,-0.1344,,9513.04,54.2829,1.0069,-0.1121,-0.0354,,53.75,0.07,0.0,,0.0,,0.07,130.7143,12.6585,-1.0834,-0.1643,,127.0,14.1429,0.378,-0.378,-0.0667,,14.0,0.0781,0.002,0.9784,0.0403,,0.0791,12325.4043,688.9873,0.5323,0.0915,,12277.14,1932329.0,333280.6749,0.571,0.1382,,2363830.0,63069.8571,23201.7457,1.0093,0.6873,,77697.0,3219.5714,1636.5004,-0.3413,-0.4973,,5232.0,310303.7357,251747.1089,0.7394,-0.3831,,432770.67,24.8043,19.7252,0.7255,-0.4348,,35.25,7695.0,25.645,0.078,-0.0054,,7684.0,6097.0,335.0493,-0.8118,-0.0223,,5940.0,0.4337,0.0261,-1.1004,0.0075,,0.419,3.0057,0.231,-0.1546,-0.0973,,3.0,185.4286,19.1706,1.892,0.2082,,175.9,0.0223,0.0011,-1.3277,-0.1469,,0.0216,171.0,8.2865,-1.3275,-0.1534,,165.0,49145.1429,783.7324,0.1172,-0.0248,,48793.0,370.2857,40.2977,0.6877,0.2964,,402.0,0.0,0.0,,,,0.0,2.4286,1.9024,0.3004,2.0,,2.0,-0.057,0.0523,0.117,-2.5562,,-0.0804
