product_id,category,brand,base_price_usd,cost_usd,gross_margin,is_premium
P000001,Toys,Brand_F,186.04,93.73,0.496,0
P000002,Books,Brand_G,52.0,23.0,0.558,0
P000003,Home,Brand_N,470.19,200.79,0.573,1
P000004,Apparel,Brand_K,269.74,114.71,0.575,0
P000005,Beauty,Brand_F,123.79,59.8,0.517,0
P000006,Sports,Brand_F,126.67,80.04,0.368,0
P000007,Toys,Brand_E,49.97,32.01,0.359,0
P000008,Toys,Brand_K,165.33,84.41,0.489,0
P000009,Apparel,Brand_D,67.89,26.8,0.605,0
P000010,Sports,Brand_I,197.23,115.38,0.415,0
P000011,Home,Brand_L,480.57,215.96,0.551,1
P000012,Toys,Brand_Q,51.69,20.07,0.612,0
P000013,Home,Brand_D,30.97,18.77,0.394,0
P000014,Electronics,Brand_S,519.25,185.74,0.642,1
P000015,Home,Brand_S,388.92,142.4,0.634,1
P000016,Apparel,Brand_G,173.63,79.58,0.542,0
P000017,Electronics,Brand_M,687.59,285.2,0.585,1
P000018,Toys,Brand_T,161.23,90.47,0.439,0
P000019,Beauty,Brand_P,97.09,62.71,0.354,0
P000020,Electronics,Brand_R,379.33,186.49,0.508,1
P000021,Apparel,Brand_T,28.62,17.86,0.376,0
P000022,Apparel,Brand_Q,13.69,7.58,0.447,0
P000023,Food,Brand_Q,89.61,35.34,0.606,0
P000024,Beauty,Brand_T,89.46,54.84,0.387,0
P000025,Electronics,Brand_N,878.69,516.45,0.412,1
P000026,Electronics,Brand_E,1287.03,568.99,0.558,1
P000027,Food,Brand_F,53.96,27.56,0.489,0
P000028,Toys,Brand_K,116.18,47.34,0.593,0
P000029,Books,Brand_T,47.57,18.03,0.621,0
P000030,Electronics,Brand_T,350.91,152.18,0.566,1
P000031,Apparel,Brand_O,156.71,88.99,0.432,0
P000032,Electronics,Brand_L,582.53,208.48,0.642,1
P000033,Toys,Brand_A,66.08,32.28,0.512,0
P000034,Home,Brand_A,662.91,343.83,0.481,1
P000035,Toys,Brand_D,155.1,77.79,0.498,0
P000036,Home,Brand_P,771.52,439.63,0.43,1
P000037,Electronics,Brand_T,1184.28,486.38,0.589,1
P000038,Apparel,Brand_S,252.35,162.18,0.357,0
P000039,Books,Brand_R,75.78,37.81,0.501,0
P000040,Toys,Brand_K,93.94,54.26,0.422,0
P000041,Home,Brand_A,360.04,225.09,0.375,1
P000042,Apparel,Brand_P,88.07,37.44,0.575,0
P000043,Electronics,Brand_T,58.72,37.95,0.354,0
P000044,Electronics,Brand_H,530.3,289.12,0.455,1
P000045,Electronics,Brand_R,1026.27,441.62,0.57,1
P000046,Home,Brand_S,142.25,71.64,0.496,0
P000047,Beauty,Brand_T,188.22,82.41,0.562,0
P000048,Apparel,Brand_A,33.52,19.35,0.423,0
P000049,Books,Brand_Q,54.64,32.23,0.41,0
P000050,Home,Brand_H,376.04,175.38,0.534,1
P000051,Sports,Brand_K,184.13,102.36,0.444,0
P000052,Home,Brand_J,798.16,329.91,0.587,1
P000053,Food,Brand_M,173.42,77.24,0.555,0
P000054,Toys,Brand_O,67.03,36.38,0.457,0
P000055,Food,Brand_P,153.49,65.41,0.574,0
P000056,Home,Brand_E,393.92,217.06,0.449,1
P000057,Toys,Brand_E,171.32,67.5,0.606,0
P000058,Home,Brand_B,644.14,354.89,0.449,1
P000059,Electronics,Brand_L,1108.07,480.9,0.566,1
P000060,Electronics,Brand_R,742.86,358.78,0.517,1
P000061,Books,Brand_R,101.98,53.11,0.479,0
P000062,Books,Brand_F,105.6,40.11,0.62,0
P000063,Toys,Brand_K,149.66,79.18,0.471,0
P000064,Beauty,Brand_N,112.8,67.79,0.399,0
P000065,Beauty,Brand_R,158.33,100.22,0.367,0
P000066,Food,Brand_N,163.5,90.79,0.445,0
P000067,Home,Brand_H,226.47,128.65,0.432,0
P000068,Home,Brand_T,612.77,385.9,0.37,1
P000069,Toys,Brand_I,132.78,83.53,0.371,0
P000070,Electronics,Brand_T,1088.68,583.42,0.464,1
P000071,Sports,Brand_B,19.95,7.72,0.613,0
P000072,Apparel,Brand_A,11.51,6.03,0.477,0
P000073,Sports,Brand_T,162.96,74.04,0.546,0
P000074,Books,Brand_C,89.96,57.38,0.362,0
P000075,Food,Brand_P,76.36,43.71,0.428,0
P000076,Home,Brand_D,743.16,397.83,0.465,1
P000077,Beauty,Brand_G,113.44,48.75,0.57,0
P000078,Sports,Brand_P,54.94,24.69,0.551,0
P000079,Apparel,Brand_F,67.26,29.18,0.566,0
P000080,Home,Brand_N,540.42,269.29,0.502,1
P000081,Electronics,Brand_A,1263.52,609.77,0.517,1
P000082,Home,Brand_F,259.85,132.82,0.489,0
P000083,Home,Brand_H,104.58,41.04,0.608,0
P000084,Beauty,Brand_K,24.52,11.85,0.517,0
P000085,Apparel,Brand_E,205.48,125.25,0.39,0
P000086,Apparel,Brand_N,237.11,90.72,0.617,0
P000087,Home,Brand_C,633.44,221.86,0.65,1
P000088,Electronics,Brand_G,816.08,434.31,0.468,1
P000089,Beauty,Brand_B,61.35,26.08,0.575,0
P000090,Sports,Brand_M,143.89,73.32,0.49,0
P000091,Home,Brand_T,633.87,246.55,0.611,1
P000092,Electronics,Brand_D,1151.67,735.2,0.362,1
P000093,Food,Brand_K,5.03,2.76,0.451,0
P000094,Beauty,Brand_M,177.42,80.17,0.548,0
P000095,Sports,Brand_C,180.5,110.62,0.387,0
P000096,Books,Brand_P,120.53,69.53,0.423,0
P000097,Food,Brand_L,51.93,20.69,0.602,0
P000098,Toys,Brand_O,193.78,122.6,0.367,0
P000099,Beauty,Brand_P,89.98,33.15,0.632,0
P000100,Beauty,Brand_B,182.27,116.74,0.36,0
P000101,Beauty,Brand_M,52.32,21.45,0.59,0
P000102,Books,Brand_F,183.02,68.25,0.627,0
P000103,Home,Brand_F,554.56,288.48,0.48,1
P000104,Home,Brand_T,166.58,80.15,0.519,0
P000105,Books,Brand_N,14.01,6.56,0.531,0
P000106,Books,Brand_F,79.34,49.18,0.38,0
P000107,Toys,Brand_E,173.08,61.02,0.647,0
P000108,Sports,Brand_B,136.34,59.29,0.565,0
P000109,Sports,Brand_C,63.14,26.77,0.576,0
P000110,Home,Brand_F,231.25,93.46,0.596,0
P000111,Apparel,Brand_J,298.36,119.06,0.601,1
P000112,Electronics,Brand_N,970.91,415.61,0.572,1
P000113,Electronics,Brand_F,433.66,172.25,0.603,1
