date,channel,spend_usd,impressions,clicks,conversions,attributed_revenue_usd,roas
2024-01-01,paid_search,4037.91,739065,28006,823,161564.66,40.012
2024-01-01,social,3590.06,657093,24900,732,143645.13,40.012
2024-01-01,email,2068.53,378606,14347,422,82765.95,40.012
2024-01-01,affiliate,1038.54,190085,7203,211,41553.95,40.012
2024-01-01,display,1414.6,258920,9813,291,56601.16,40.012
2024-01-02,paid_search,3934.47,672678,16265,1903,348237.56,88.509
2024-01-02,social,3383.82,578533,13989,1637,299499.49,88.509
2024-01-02,email,2575.54,440342,10647,1246,227959.76,88.51
2024-01-02,affiliate,2181.81,373025,9020,1055,193110.95,88.51
2024-01-02,display,548.25,93735,2269,268,48524.55,88.508
2024-01-03,paid_search,5588.18,896219,24633,2543,386745.14,69.208
2024-01-03,social,1839.28,294980,8107,837,127292.58,69.208
2024-01-03,email,2489.68,399288,10974,1133,172304.89,69.208
2024-01-03,affiliate,1387.72,222559,6117,631,96041.12,69.208
2024-01-03,display,323.34,51857,1427,149,22376.78,69.205
2024-01-04,paid_search,5865.8,965626,39811,2623,343638.7,58.583
2024-01-04,social,2936.46,483399,19930,1313,172028.09,58.583
2024-01-04,email,1403.29,231009,9524,627,82209.57,58.583
2024-01-04,affiliate,2344.79,385999,15914,1048,137366.21,58.584
2024-01-04,display,155.19,25549,1055,71,9091.43,58.583
2024-01-05,paid_search,2735.3,352917,15576,675,33330.97,12.185
2024-01-05,social,2775.91,358158,15807,685,33825.91,12.186
2024-01-05,email,3326.16,429153,18941,821,40530.98,12.186
2024-01-05,affiliate,1871.58,241477,10657,462,22806.09,12.185
2024-01-05,display,888.93,114693,5064,222,10832.03,12.185
2024-01-06,paid_search,3805.58,515371,8478,594,38250.12,10.051
2024-01-06,social,4256.0,576369,9481,664,42777.34,10.051
2024-01-06,email,3643.72,493451,8117,568,36623.26,10.051
2024-01-06,affiliate,1053.29,142641,2346,164,10586.68,10.051
2024-01-06,display,88.41,11976,199,16,888.69,10.052
2024-01-07,paid_search,4504.57,747879,20921,987,54753.75,12.155
2024-01-07,social,4181.36,694218,19420,917,50825.07,12.155
2024-01-07,email,1820.74,302292,8456,399,22131.39,12.155
2024-01-07,affiliate,2360.67,391933,10964,517,28694.24,12.155
2024-01-07,display,118.39,19657,551,28,1438.98,12.155
2024-01-08,paid_search,2792.63,388954,9021,310,17568.28,6.291
2024-01-08,social,3271.88,455704,10569,364,20583.24,6.291
2024-01-08,email,1799.83,250678,5814,200,11322.64,6.291
2024-01-08,affiliate,2096.42,291986,6772,233,13188.44,6.291
2024-01-08,display,1211.61,168753,3916,136,7622.18,6.291
2024-01-09,paid_search,4416.58,850364,27950,1882,155684.96,35.25
2024-01-09,social,1752.54,337433,11091,746,61777.42,35.25
2024-01-09,email,2095.45,403455,13261,892,73864.7,35.25
2024-01-09,affiliate,2263.49,435809,14324,964,79788.17,35.25
2024-01-09,display,1749.08,336769,11071,748,61655.42,35.25
2024-01-10,paid_search,5828.05,974679,39713,1221,227958.11,39.114
2024-01-10,social,1661.17,277813,11319,348,64975.07,39.114
2024-01-10,email,1497.83,250495,10206,314,58586.0,39.114
2024-01-10,affiliate,2896.39,484389,19736,607,113289.08,39.114
2024-01-10,display,808.74,135255,5514,171,31632.94,39.114
2024-01-11,paid_search,4360.45,868099,39643,3760,686393.89,157.414
2024-01-11,social,2055.8,409278,18690,1772,323610.94,157.414
2024-01-11,email,1461.09,290880,13283,1260,229994.96,157.413
2024-01-11,affiliate,2864.09,570196,26039,2470,450846.4,157.413
2024-01-11,display,1398.91,278507,12720,1208,220209.39,157.415
2024-01-12,paid_search,3260.13,320777,5507,440,79214.32,24.298
2024-01-12,social,3118.2,306812,5267,421,75765.81,24.298
2024-01-12,email,2690.84,264762,4545,363,65381.85,24.298
2024-01-12,affiliate,3851.89,379003,6507,520,93592.98,24.298
2024-01-12,display,193.48,19039,330,27,4700.94,24.297
2024-01-13,paid_search,3455.01,486325,18368,1434,103240.53,29.881
2024-01-13,social,3317.12,466916,17635,1377,99120.22,29.881
2024-01-13,email,3722.87,524029,19792,1545,111244.48,29.881
2024-01-13,affiliate,522.83,73593,2779,217,15623.03,29.882
2024-01-13,display,351.88,49532,1873,148,10514.28,29.88
2024-01-14,paid_search,4585.96,425153,6638,410,79917.27,17.427
2024-01-14,social,961.59,89146,1391,86,16757.15,17.427
2024-01-14,email,2278.94,211275,3298,204,39713.93,17.426
