anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped,ci_ran,ci_actual_cum,ci_counterfactual_cum,ci_absolute_effect,ci_relative_effect_pct,ci_lower,ci_upper,ci_effect_significant,ci_confidence,ci_skip_reason,dw_ran,dw_treatment,dw_outcome,dw_ate_coeff,dw_p_value,dw_driver_deviation,dw_estimated_contribution,dw_effect_pct,dw_refutation_passed,dw_confidence,root_cause_confidence,causal_summary
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,n_orders,total_revenue_usd,57.38453693,0.780396,-69.4286,-3984.1281,-33.47,True,0.5,0.5,total_revenue_usd moved DOWN -36.5% on 2024-03-15; suspected driver: n_orders. DoWhy: n_orders explains -33.5% of expected outcome (robust).
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,UP,6.6,1.7937,0,,total_revenue_usd -> n_orders -> sessions,sessions,1.8606,UP,2,"avg_discount_pct, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,total_revenue_usd,0.03044574,0.0,978.2857,29.7846,0.23,True,0.9,0.9,total_revenue_usd moved UP +6.6% on 2024-04-17; suspected driver: sessions. DoWhy: sessions explains +0.2% of expected outcome (robust).
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,UP,16.8,2.1331,1,website_outage,total_revenue_usd -> n_orders -> sessions,sessions,-2.2609,DOWN,2,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,total_revenue_usd,0.03044574,0.0,-4705.1429,-143.2516,-1.15,True,0.9,0.9,total_revenue_usd moved UP +16.8% on 2024-06-18; suspected driver: sessions. DoWhy: sessions explains -1.1% of expected outcome (robust).
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,UP,6.94,1.1521,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.6372,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,avg_order_value_usd,total_revenue_usd,202.56483758,0.316448,2.4657,499.4641,3.7,True,0.5,0.5,total_revenue_usd moved UP +6.9% on 2024-06-22; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +3.7% of expected outcome (robust).
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,UP,4.21,1.4968,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.7004,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,avg_order_value_usd,total_revenue_usd,202.56483758,0.316448,1.4671,297.1829,1.92,True,0.5,0.5,total_revenue_usd moved UP +4.2% on 2024-07-23; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +1.9% of expected outcome (robust).
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,UP,49.06,2.267,1,back_to_school_surge,total_revenue_usd -> n_orders -> sessions,sessions,1.508,UP,2,"n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,0,True,sessions,total_revenue_usd,0.03044574,0.0,542.7143,16.5233,0.11,True,0.9,0.9,total_revenue_usd moved UP +49.1% on 2024-08-20; suspected driver: sessions. DoWhy: sessions explains +0.1% of expected outcome (robust).
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,UP,223.83,2.2671,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2673,UP,1,"avg_order_value_usd, avg_roas, inventory_health, n_orders",total_revenue_usd,no_anomalous_child,False,,,,,,,,,0,True,avg_order_value_usd,total_revenue_usd,202.56483758,0.316448,131.0214,26540.3286,129.96,True,0.5,0.5,total_revenue_usd moved UP +223.8% on 2024-11-29; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +130.0% of expected outcome (robust).
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,UP,44.68,0.5254,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5254,UP,0,,,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,total_revenue_usd moved UP +44.7% on 2024-12-02; suspected driver: total_revenue_usd.
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,UP,246.63,2.2677,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2677,UP,1,"avg_order_value_usd, n_orders, total_clicks",total_revenue_usd,no_anomalous_child,False,,,,,,,,,0,True,avg_order_value_usd,total_revenue_usd,202.56483758,0.316448,134.9257,27331.2025,153.62,True,0.5,0.5,total_revenue_usd moved UP +246.6% on 2025-11-28; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +153.6% of expected outcome (robust).
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,UP,52.27,0.5619,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5619,UP,0,inventory_health,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,total_revenue_usd moved UP +52.3% on 2025-12-01; suspected driver: total_revenue_usd.
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,DOWN,-35.71,-2.2526,1,inventory_stockout,n_orders,n_orders,-2.2526,DOWN,0,"bounce_rate, return_rate, total_revenue_usd",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,n_orders moved DOWN -35.7% on 2024-03-15; suspected driver: n_orders.
ANO-20240417-ORD,2024-04-17,n_orders,1,MEDIUM,UP,5.95,1.9074,0,,n_orders -> sessions,sessions,1.8606,UP,1,"avg_discount_pct, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,n_orders,0.00082777,0.0,978.2857,0.8098,0.37,True,0.9,0.9,n_orders moved UP +6.0% on 2024-04-17; suspected driver: sessions. DoWhy: sessions explains +0.4% of expected outcome (robust).
ANO-20240618-ORD,2024-06-18,n_orders,1,MEDIUM,UP,11.21,2.1363,1,website_outage,n_orders -> sessions,sessions,-2.2609,DOWN,1,"avg_discount_pct, avg_order_value_usd, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,n_orders,0.00082777,0.0,-4705.1429,-3.8948,-1.8,True,0.9,0.9,n_orders moved UP +11.2% on 2024-06-18; suspected driver: sessions. DoWhy: sessions explains -1.8% of expected outcome (robust).
ANO-20240723-ORD,2024-07-23,n_orders,1,MEDIUM,UP,1.93,0.9908,0,,n_orders,n_orders,0.9908,UP,0,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,n_orders moved UP +1.9% on 2024-07-23; suspected driver: n_orders.
ANO-20240820-ORD,2024-08-20,n_orders,1,HIGH,UP,50.93,2.2651,1,back_to_school_surge,n_orders -> sessions,sessions,1.508,UP,1,"sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,0,True,sessions,n_orders,0.00082777,0.0,542.7143,0.4492,0.18,True,0.9,0.9,n_orders moved UP +50.9% on 2024-08-20; suspected driver: sessions. DoWhy: sessions explains +0.2% of expected outcome (robust).
ANO-20241129-ORD,2024-11-29,n_orders,1,HIGH,UP,37.34,2.2511,1,black_friday_spike,n_orders,n_orders,2.2511,UP,0,"avg_order_value_usd, avg_roas, inventory_health, total_revenue_usd",total_revenue_usd,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,n_orders moved UP +37.3% on 2024-11-29; suspected driver: n_orders.
ANO-20241202-ORD,2024-12-02,n_orders,1,HIGH,UP,13.35,0.8305,1,cyber_monday_halo,n_orders,n_orders,0.8305,UP,0,,total_revenue_usd,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,n_orders moved UP +13.3% on 2024-12-02; suspected driver: n_orders.
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,DOWN,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",leaf_node_reached,False,,,,,,,,,,True,avg_discount_pct,n_orders,972.93511045,0.0,-0.0167,-16.248,-8.09,True,0.9,0.9,n_orders moved DOWN -34.3% on 2025-02-10; suspected driver: avg_discount_pct. DoWhy: avg_discount_pct explains -8.1% of expected outcome (robust).
ANO-20251128-ORD,2025-11-28,n_orders,1,HIGH,UP,42.16,2.265,1,black_friday_spike,n_orders,n_orders,2.265,UP,0,"avg_order_value_usd, total_clicks, total_revenue_usd",total_revenue_usd,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,n_orders moved UP +42.2% on 2025-11-28; suspected driver: n_orders.
ANO-20251201-ORD,2025-12-01,n_orders,1,MEDIUM,UP,17.05,0.9199,1,cyber_monday_halo,n_orders,n_orders,0.9199,UP,0,inventory_health,total_revenue_usd,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,n_orders moved UP +17.1% on 2025-12-01; suspected driver: n_orders.
ANO-20240111-ROAS,2024-01-11,avg_roas,1,HIGH,UP,304.42,2.2014,0,,avg_roas -> total_clicks,total_clicks,1.5429,UP,1,total_clicks,avg_roas,leaf_node_reached,False,,,,,,,,,pre_period too short (10 rows),True,total_clicks,avg_roas,0.00062259,0.0,43856.4286,27.3046,70.15,True,0.9,0.9,avg_roas moved UP +304.4% on 2024-01-11; suspected driver: total_clicks. DoWhy: total_clicks explains +70.2% of expected outcome (robust).
ANO-20240130-ROAS,2024-01-30,avg_roas,1,MEDIUM,UP,259.11,2.1364,0,,avg_roas,avg_roas,2.1364,UP,0,"conversion_rate, n_orders, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +259.1% on 2024-01-30; suspected driver: avg_roas.
ANO-20240131-ROAS,2024-01-31,avg_roas,1,HIGH,UP,165.59,1.5571,0,,avg_roas,avg_roas,1.5571,UP,0,,,no_anomalous_child,False,,,,,,,,,0,False,,,,,,,,,,,avg_roas moved UP +165.6% on 2024-01-31; suspected driver: avg_roas.
ANO-20240202-ROAS,2024-02-02,avg_roas,1,MEDIUM,UP,54.4,0.5913,0,,avg_roas,avg_roas,0.5913,UP,0,"conversion_rate, return_rate",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +54.4% on 2024-02-02; suspected driver: avg_roas.
ANO-20240227-ROAS,2024-02-27,avg_roas,1,MEDIUM,UP,96.93,2.0523,0,,avg_roas -> total_clicks,total_clicks,1.7396,UP,1,"bounce_rate, n_stockouts, total_clicks",avg_roas,leaf_node_reached,False,,,,,,,,,,True,total_clicks,avg_roas,0.00062259,0.0,47501.4286,29.5739,64.78,True,0.9,0.9,avg_roas moved UP +96.9% on 2024-02-27; suspected driver: total_clicks. DoWhy: total_clicks explains +64.8% of expected outcome (robust).
ANO-20240311-ROAS,2024-03-11,avg_roas,1,MEDIUM,UP,161.94,1.8596,0,,avg_roas,avg_roas,1.8596,UP,0,"inventory_health, return_rate",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved UP +161.9% on 2024-03-11; suspected driver: avg_roas.
