anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,DOWN,-35.71,-2.2526,1,inventory_stockout,n_orders,n_orders,-2.2526,DOWN,0,"bounce_rate, return_rate, total_revenue_usd",total_revenue_usd,no_anomalous_child
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,DOWN,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",leaf_node_reached
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,DOWN,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child
ANO-20240618-ROAS,2024-06-18,avg_roas,1,MEDIUM,DOWN,-35.21,-0.5094,1,website_outage,avg_roas,avg_roas,-0.5094,DOWN,0,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child
ANO-20240621-ROAS,2024-06-21,avg_roas,1,MEDIUM,DOWN,-74.06,-1.0004,0,,avg_roas,avg_roas,-1.0004,DOWN,0,,,no_anomalous_child
ANO-20240622-ROAS,2024-06-22,avg_roas,1,MEDIUM,DOWN,-41.34,-0.6212,0,,avg_roas,avg_roas,-0.6212,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child
ANO-20240626-ROAS,2024-06-26,avg_roas,1,MEDIUM,DOWN,-67.75,-0.6301,0,,avg_roas,avg_roas,-0.6301,DOWN,0,bounce_rate,,no_anomalous_child
ANO-20240710-ROAS,2024-07-10,avg_roas,1,MEDIUM,DOWN,-59.43,-0.7114,1,marketing_tracking_outage,avg_roas,avg_roas,-0.7114,DOWN,0,"avg_order_value_usd, total_revenue_usd",,no_anomalous_child
ANO-20240723-ROAS,2024-07-23,avg_roas,1,MEDIUM,DOWN,-88.44,-0.9054,0,,avg_roas,avg_roas,-0.9054,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child
ANO-20240820-ROAS,2024-08-20,avg_roas,1,MEDIUM,DOWN,-53.09,-0.641,1,back_to_school_surge,avg_roas,avg_roas,-0.641,DOWN,0,"n_orders, sessions, total_revenue_usd",,no_anomalous_child
ANO-20241214-ROAS,2024-12-14,avg_roas,1,MEDIUM,DOWN,-20.14,-0.3499,0,,avg_roas -> total_clicks,total_clicks,1.9888,UP,1,"avg_discount_pct, conversion_rate, inventory_health, n_orders, sessions, total_clicks, total_revenue_usd",avg_roas,leaf_node_reached
ANO-20241216-ROAS,2024-12-16,avg_roas,1,MEDIUM,DOWN,-53.82,-0.9653,0,,avg_roas,avg_roas,-0.9653,DOWN,0,"avg_order_value_usd, bounce_rate",,no_anomalous_child
ANO-20250127-ROAS,2025-01-27,avg_roas,1,MEDIUM,DOWN,-7.32,-0.0689,0,,avg_roas -> total_clicks,total_clicks,1.6941,UP,1,"n_stockouts, total_clicks",avg_roas,leaf_node_reached
ANO-20250128-ROAS,2025-01-28,avg_roas,1,MEDIUM,DOWN,-64.67,-0.8378,0,,avg_roas,avg_roas,-0.8378,DOWN,0,return_rate,,no_anomalous_child
ANO-20250201-ROAS,2025-02-01,avg_roas,1,MEDIUM,DOWN,-40.5,-0.7371,0,,avg_roas,avg_roas,-0.7371,DOWN,0,,,no_anomalous_child
ANO-20250204-ROAS,2025-02-04,avg_roas,1,MEDIUM,DOWN,-66.42,-1.2275,0,,avg_roas,avg_roas,-1.2275,DOWN,0,"avg_order_value_usd, bounce_rate",,no_anomalous_child
ANO-20250917-ROAS,2025-09-17,avg_roas,1,MEDIUM,DOWN,-61.11,-0.7594,1,bot_traffic_surge,avg_roas,avg_roas,-0.7594,DOWN,0,sessions,,no_anomalous_child
ANO-20251128-ROAS,2025-11-28,avg_roas,1,MEDIUM,DOWN,-58.79,-0.9295,1,black_friday_spike,avg_roas -> total_clicks,total_clicks,-1.8655,DOWN,1,"avg_order_value_usd, n_orders, total_clicks, total_revenue_usd",avg_roas,leaf_node_reached
ANO-20240620-RET,2024-06-20,return_rate,2,MEDIUM,DOWN,-1.95,-1.0424,0,,return_rate,return_rate,-1.0424,DOWN,0,,total_revenue_usd,tier_2_3_no_traversal
ANO-20250114-RET,2025-01-14,return_rate,2,MEDIUM,DOWN,-2.2,-0.8545,0,,return_rate,return_rate,-0.8545,DOWN,0,avg_roas,total_revenue_usd,tier_2_3_no_traversal
ANO-20240417-STK,2024-04-17,n_stockouts,2,MEDIUM,,,,0,,n_stockouts,n_stockouts,,,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd","n_orders, total_revenue_usd",tier_2_3_no_traversal
ANO-20240626-STK,2024-06-26,n_stockouts,2,MEDIUM,DOWN,-100.0,-0.5855,0,,n_stockouts,n_stockouts,-0.5855,DOWN,0,bounce_rate,"n_orders, total_revenue_usd",tier_2_3_no_traversal
ANO-20241105-STK,2024-11-05,n_stockouts,2,MEDIUM,,,,1,bot_traffic_surge,n_stockouts,n_stockouts,,,0,"conversion_rate, n_orders, return_rate, sessions","n_orders, total_revenue_usd",tier_2_3_no_traversal
ANO-20241216-STK,2024-12-16,n_stockouts,2,MEDIUM,,,,0,,n_stockouts,n_stockouts,,,0,"avg_order_value_usd, bounce_rate","n_orders, total_revenue_usd",tier_2_3_no_traversal
ANO-20240710-BNC,2024-07-10,bounce_rate,2,MEDIUM,DOWN,-10.54,-1.197,1,marketing_tracking_outage,bounce_rate,bounce_rate,-1.197,DOWN,0,"avg_order_value_usd, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",tier_2_3_no_traversal
ANO-20240620-CLK,2024-06-20,total_clicks,3,LOW,DOWN,-15.87,-0.37,0,,total_clicks,total_clicks,-0.37,DOWN,0,,avg_roas,tier_2_3_no_traversal
ANO-20240621-CLK,2024-06-21,total_clicks,3,LOW,DOWN,-51.35,-0.9873,0,,total_clicks,total_clicks,-0.9873,DOWN,0,,avg_roas,tier_2_3_no_traversal
ANO-20240622-CLK,2024-06-22,total_clicks,3,LOW,DOWN,-38.76,-0.8858,0,,total_clicks,total_clicks,-0.8858,DOWN,0,"avg_order_value_usd, inventory_health",avg_roas,tier_2_3_no_traversal
ANO-20240626-CLK,2024-06-26,total_clicks,3,LOW,DOWN,-66.77,-0.9567,0,,total_clicks,total_clicks,-0.9567,DOWN,0,bounce_rate,avg_roas,tier_2_3_no_traversal
ANO-20240723-CLK,2024-07-23,total_clicks,3,LOW,DOWN,-69.3,-1.0362,0,,total_clicks,total_clicks,-1.0362,DOWN,0,"avg_order_value_usd, inventory_health",avg_roas,tier_2_3_no_traversal
ANO-20241105-CLK,2024-11-05,total_clicks,3,LOW,DOWN,-36.29,-0.6737,1,bot_traffic_surge,total_clicks,total_clicks,-0.6737,DOWN,0,"conversion_rate, n_orders, return_rate, sessions",avg_roas,tier_2_3_no_traversal
ANO-20250126-CLK,2025-01-26,total_clicks,3,LOW,DOWN,-39.55,-0.8499,0,,total_clicks,total_clicks,-0.8499,DOWN,0,"avg_order_value_usd, bounce_rate",avg_roas,tier_2_3_no_traversal
ANO-20250128-CLK,2025-01-28,total_clicks,3,LOW,DOWN,-39.53,-0.6677,0,,total_clicks,total_clicks,-0.6677,DOWN,0,return_rate,avg_roas,tier_2_3_no_traversal
ANO-20250130-CLK,2025-01-30,total_clicks,3,LOW,DOWN,-11.76,-0.1887,0,,total_clicks,total_clicks,-0.1887,DOWN,0,,avg_roas,tier_2_3_no_traversal
ANO-20250204-CLK,2025-02-04,total_clicks,3,LOW,DOWN,-2.11,-0.064,0,,total_clicks,total_clicks,-0.064,DOWN,0,"avg_order_value_usd, bounce_rate",avg_roas,tier_2_3_no_traversal
