anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped,ci_ran,ci_actual_cum,ci_counterfactual_cum,ci_absolute_effect,ci_relative_effect_pct,ci_lower,ci_upper,ci_effect_significant,ci_confidence,ci_skip_reason,dw_ran,dw_treatment,dw_outcome,dw_ate_coeff,dw_p_value,dw_driver_deviation,dw_estimated_contribution,dw_effect_pct,dw_refutation_passed,dw_confidence,root_cause_confidence,causal_summary,is_externally_driven,external_driver_type,external_driver_detail,actionability_score,actionability_label,escalation_suppressed,suppression_reason,snap_economic_index,snap_marketing_pressure,snap_seasonal_index,snap_consumer_sentiment,rca_narrative
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,total_revenue_usd moved DOWN -36.5% on 2024-03-15; suspected driver: n_orders.,False,none,,1.0,HIGH,False,,0.18358,-0.08937,-0.01289,0.05695,[MEDIUM] total_revenue_usd moved DOWN -36.5% on 2024-03-15. Chain: total_revenue_usd -> n_orders. Suspected driver: n_orders. No external suppression. Fully actionable.
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,DOWN,-35.71,-2.2526,1,inventory_stockout,n_orders,n_orders,-2.2526,DOWN,0,"bounce_rate, return_rate, total_revenue_usd",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,n_orders moved DOWN -35.7% on 2024-03-15; suspected driver: n_orders.,False,none,,1.0,HIGH,False,,0.18358,-0.08937,-0.01289,0.05695,[MEDIUM] n_orders moved DOWN -35.7% on 2024-03-15. Root: n_orders (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,DOWN,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",leaf_node_reached,False,,,,,,,,,,False,,,,,,,,,,,n_orders moved DOWN -34.3% on 2025-02-10; suspected driver: avg_discount_pct.,False,none,,1.0,HIGH,False,,-0.01325,0.13632,-0.09331,-0.01053,[MEDIUM] n_orders moved DOWN -34.3% on 2025-02-10. Chain: n_orders -> conversion_rate -> avg_discount_pct. Suspected driver: avg_discount_pct. No external suppression. Fully actionable.
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,DOWN,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -46.2% on 2024-04-17; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.17425,0.29856,0.06953,-0.00695,[MEDIUM] avg_roas moved DOWN -46.2% on 2024-04-17. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240618-ROAS,2024-06-18,avg_roas,1,MEDIUM,DOWN,-35.21,-0.5094,1,website_outage,avg_roas,avg_roas,-0.5094,DOWN,0,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -35.2% on 2024-06-18; suspected driver: avg_roas.,True,competitive_pressure,marketing_pressure=0.361 (threshold 0.3),0.45,SUPPRESSED,True,Suppressed: competitive_pressure (actionability=0.45),0.17751,0.36144,0.14997,-0.00756,[MEDIUM] avg_roas moved DOWN -35.2% on 2024-06-18. Root: avg_roas (no deeper driver above watch threshold). External: competitive pressure detected. Actionability: SUPPRESSED. Escalation SUPPRESSED.
ANO-20240621-ROAS,2024-06-21,avg_roas,1,MEDIUM,DOWN,-74.06,-1.0004,0,,avg_roas,avg_roas,-1.0004,DOWN,0,,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -74.1% on 2024-06-21; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.10159,0.26754,0.14993,0.00869,[MEDIUM] avg_roas moved DOWN -74.1% on 2024-06-21. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240622-ROAS,2024-06-22,avg_roas,1,MEDIUM,DOWN,-41.34,-0.6212,0,,avg_roas,avg_roas,-0.6212,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -41.3% on 2024-06-22; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.19968,0.26634,0.14983,-0.00467,[MEDIUM] avg_roas moved DOWN -41.3% on 2024-06-22. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240626-ROAS,2024-06-26,avg_roas,1,MEDIUM,DOWN,-67.75,-0.6301,0,,avg_roas,avg_roas,-0.6301,DOWN,0,bounce_rate,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -67.8% on 2024-06-26; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.21382,0.16615,0.14899,-0.10451,[MEDIUM] avg_roas moved DOWN -67.8% on 2024-06-26. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240710-ROAS,2024-07-10,avg_roas,1,MEDIUM,DOWN,-59.43,-0.7114,1,marketing_tracking_outage,avg_roas,avg_roas,-0.7114,DOWN,0,"avg_order_value_usd, total_revenue_usd",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -59.4% on 2024-07-10; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.22912,0.19001,0.14053,-0.09521,[MEDIUM] avg_roas moved DOWN -59.4% on 2024-07-10. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
ANO-20240723-ROAS,2024-07-23,avg_roas,1,MEDIUM,DOWN,-88.44,-0.9054,0,,avg_roas,avg_roas,-0.9054,DOWN,0,"avg_order_value_usd, inventory_health",,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,avg_roas moved DOWN -88.4% on 2024-07-23; suspected driver: avg_roas.,False,none,,1.0,HIGH,False,,0.39181,0.10941,0.12539,-0.0161,[MEDIUM] avg_roas moved DOWN -88.4% on 2024-07-23. Root: avg_roas (no deeper driver above watch threshold). No external suppression. Fully actionable.
