anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,UP,6.6,1.7937,0,,total_revenue_usd -> n_orders -> sessions,sessions,1.8606,UP,2,"avg_discount_pct, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,UP,16.8,2.1331,1,website_outage,total_revenue_usd -> n_orders -> sessions,sessions,-2.2609,DOWN,2,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,UP,6.94,1.1521,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.6372,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,UP,4.21,1.4968,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.7004,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,UP,49.06,2.267,1,back_to_school_surge,total_revenue_usd -> n_orders -> sessions,sessions,1.508,UP,2,"n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,UP,223.83,2.2671,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2673,UP,1,"avg_order_value_usd, avg_roas, inventory_health, n_orders",total_revenue_usd,no_anomalous_child
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,UP,44.68,0.5254,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5254,UP,0,,,no_anomalous_child
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,UP,246.63,2.2677,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2677,UP,1,"avg_order_value_usd, n_orders, total_clicks",total_revenue_usd,no_anomalous_child
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,UP,52.27,0.5619,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5619,UP,0,inventory_health,,no_anomalous_child
ANO-20240315-ORD,2024-03-15,n_orders,1,MEDIUM,DOWN,-35.71,-2.2526,1,inventory_stockout,n_orders,n_orders,-2.2526,DOWN,0,"bounce_rate, return_rate, total_revenue_usd",total_revenue_usd,no_anomalous_child
ANO-20240417-ORD,2024-04-17,n_orders,1,MEDIUM,UP,5.95,1.9074,0,,n_orders -> sessions,sessions,1.8606,UP,1,"avg_discount_pct, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child
ANO-20240618-ORD,2024-06-18,n_orders,1,MEDIUM,UP,11.21,2.1363,1,website_outage,n_orders -> sessions,sessions,-2.2609,DOWN,1,"avg_discount_pct, avg_order_value_usd, conversion_rate, sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child
ANO-20240723-ORD,2024-07-23,n_orders,1,MEDIUM,UP,1.93,0.9908,0,,n_orders,n_orders,0.9908,UP,0,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child
ANO-20240820-ORD,2024-08-20,n_orders,1,HIGH,UP,50.93,2.2651,1,back_to_school_surge,n_orders -> sessions,sessions,1.508,UP,1,"sessions, total_revenue_usd","n_orders, total_revenue_usd",no_anomalous_child
ANO-20241129-ORD,2024-11-29,n_orders,1,HIGH,UP,37.34,2.2511,1,black_friday_spike,n_orders,n_orders,2.2511,UP,0,"avg_order_value_usd, avg_roas, inventory_health, total_revenue_usd",total_revenue_usd,no_anomalous_child
ANO-20241202-ORD,2024-12-02,n_orders,1,HIGH,UP,13.35,0.8305,1,cyber_monday_halo,n_orders,n_orders,0.8305,UP,0,,total_revenue_usd,no_anomalous_child
ANO-20250210-ORD,2025-02-10,n_orders,1,MEDIUM,DOWN,-34.28,-2.2573,1,inventory_stockout,n_orders -> conversion_rate -> avg_discount_pct,avg_discount_pct,-1.9711,DOWN,2,"avg_discount_pct, conversion_rate, return_rate, sessions, total_revenue_usd","conversion_rate, n_orders, total_revenue_usd",leaf_node_reached
ANO-20251128-ORD,2025-11-28,n_orders,1,HIGH,UP,42.16,2.265,1,black_friday_spike,n_orders,n_orders,2.265,UP,0,"avg_order_value_usd, total_clicks, total_revenue_usd",total_revenue_usd,no_anomalous_child
ANO-20251201-ORD,2025-12-01,n_orders,1,MEDIUM,UP,17.05,0.9199,1,cyber_monday_halo,n_orders,n_orders,0.9199,UP,0,inventory_health,total_revenue_usd,no_anomalous_child
ANO-20240111-ROAS,2024-01-11,avg_roas,1,HIGH,UP,304.42,2.2014,0,,avg_roas -> total_clicks,total_clicks,1.5429,UP,1,total_clicks,avg_roas,leaf_node_reached
ANO-20240130-ROAS,2024-01-30,avg_roas,1,MEDIUM,UP,259.11,2.1364,0,,avg_roas,avg_roas,2.1364,UP,0,"conversion_rate, n_orders, total_revenue_usd",,no_anomalous_child
ANO-20240131-ROAS,2024-01-31,avg_roas,1,HIGH,UP,165.59,1.5571,0,,avg_roas,avg_roas,1.5571,UP,0,,,no_anomalous_child
ANO-20240227-ROAS,2024-02-27,avg_roas,1,MEDIUM,UP,96.93,2.0523,0,,avg_roas -> total_clicks,total_clicks,1.7396,UP,1,"bounce_rate, n_stockouts, total_clicks",avg_roas,leaf_node_reached
ANO-20240311-ROAS,2024-03-11,avg_roas,1,MEDIUM,UP,161.94,1.8596,0,,avg_roas,avg_roas,1.8596,UP,0,"inventory_health, return_rate",,no_anomalous_child
ANO-20240412-ROAS,2024-04-12,avg_roas,1,MEDIUM,UP,195.55,2.0407,0,,avg_roas,avg_roas,2.0407,UP,0,bounce_rate,,no_anomalous_child
ANO-20240417-ROAS,2024-04-17,avg_roas,1,MEDIUM,DOWN,-46.19,-0.3921,0,,avg_roas,avg_roas,-0.3921,DOWN,0,"avg_discount_pct, conversion_rate, n_orders, sessions, total_revenue_usd",,no_anomalous_child
ANO-20240428-ROAS,2024-04-28,avg_roas,1,MEDIUM,UP,197.68,2.102,0,,avg_roas -> total_clicks,total_clicks,2.0737,UP,1,"avg_order_value_usd, n_orders, return_rate, total_clicks, total_revenue_usd",avg_roas,leaf_node_reached
ANO-20240429-ROAS,2024-04-29,avg_roas,1,MEDIUM,UP,111.7,1.2451,0,,avg_roas,avg_roas,1.2451,UP,0,avg_discount_pct,,no_anomalous_child
ANO-20240526-ROAS,2024-05-26,avg_roas,1,MEDIUM,UP,131.31,1.5311,0,,avg_roas,avg_roas,1.5311,UP,0,"sessions, total_revenue_usd",,no_anomalous_child
