anomaly_id,date,kpi,tier,severity,direction,deviation_pct,z_score,anomaly_flag,anomaly_event,dependency_chain,suspected_driver_kpi,driver_z_score,driver_direction,graph_depth_reached,co_anomalous_kpis,affected_tier1_kpis,traversal_stopped,ci_ran,ci_actual_cum,ci_counterfactual_cum,ci_absolute_effect,ci_relative_effect_pct,ci_lower,ci_upper,ci_effect_significant,ci_confidence,ci_skip_reason,dw_ran,dw_treatment,dw_outcome,dw_ate_coeff,dw_p_value,dw_driver_deviation,dw_estimated_contribution,dw_effect_pct,dw_refutation_passed,dw_confidence,root_cause_confidence,causal_summary,is_externally_driven,external_driver_type,external_driver_detail,actionability_score,actionability_label,escalation_suppressed,suppression_reason,snap_economic_index,snap_marketing_pressure,snap_seasonal_index,snap_consumer_sentiment,rca_narrative
ANO-20240315-REV,2024-03-15,total_revenue_usd,1,MEDIUM,DOWN,-36.46,-2.1924,1,inventory_stockout,total_revenue_usd -> n_orders,n_orders,-2.2526,DOWN,1,"bounce_rate, n_orders, return_rate",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,n_orders,total_revenue_usd,57.38453693,0.780396,-69.4286,-3984.1281,-33.47,True,0.5,0.5,total_revenue_usd moved DOWN -36.5% on 2024-03-15; suspected driver: n_orders. DoWhy: n_orders explains -33.5% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.18358,-0.08937,-0.01289,0.05695,[MEDIUM] total_revenue_usd moved DOWN -36.5% on 2024-03-15. Chain: total_revenue_usd -> n_orders. Suspected driver: n_orders. Causal confidence: 50%. No external suppression. Fully actionable.
ANO-20240417-REV,2024-04-17,total_revenue_usd,1,MEDIUM,UP,6.6,1.7937,0,,total_revenue_usd -> n_orders -> sessions,sessions,1.8606,UP,2,"avg_discount_pct, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,total_revenue_usd,0.03044574,0.0,978.2857,29.7846,0.23,True,0.9,0.9,total_revenue_usd moved UP +6.6% on 2024-04-17; suspected driver: sessions. DoWhy: sessions explains +0.2% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.17425,0.29856,0.06953,-0.00695,[MEDIUM] total_revenue_usd moved UP +6.6% on 2024-04-17. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240618-REV,2024-06-18,total_revenue_usd,1,MEDIUM,UP,16.8,2.1331,1,website_outage,total_revenue_usd -> n_orders -> sessions,sessions,-2.2609,DOWN,2,"avg_discount_pct, avg_order_value_usd, conversion_rate, n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,False,,,,,,,,,,True,sessions,total_revenue_usd,0.03044574,0.0,-4705.1429,-143.2516,-1.15,True,0.9,0.9,total_revenue_usd moved UP +16.8% on 2024-06-18; suspected driver: sessions. DoWhy: sessions explains -1.1% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.17751,0.36144,0.14997,-0.00756,[MEDIUM] total_revenue_usd moved UP +16.8% on 2024-06-18. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240622-REV,2024-06-22,total_revenue_usd,1,MEDIUM,UP,6.94,1.1521,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.6372,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,avg_order_value_usd,total_revenue_usd,202.5644554,0.003317,2.4657,499.4632,3.7,True,0.9,0.9,total_revenue_usd moved UP +6.9% on 2024-06-22; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +3.7% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.19968,0.26634,0.14983,-0.00467,[MEDIUM] total_revenue_usd moved UP +6.9% on 2024-06-22. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240723-REV,2024-07-23,total_revenue_usd,1,MEDIUM,UP,4.21,1.4968,0,,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,1.7004,UP,1,"avg_order_value_usd, inventory_health",total_revenue_usd,no_anomalous_child,False,,,,,,,,,,True,avg_order_value_usd,total_revenue_usd,202.5644554,0.003317,1.4671,297.1823,1.92,True,0.9,0.9,total_revenue_usd moved UP +4.2% on 2024-07-23; suspected driver: avg_order_value_usd. DoWhy: avg_order_value_usd explains +1.9% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.39181,0.10941,0.12539,-0.0161,[MEDIUM] total_revenue_usd moved UP +4.2% on 2024-07-23. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 90%. No external suppression. Fully actionable.
ANO-20240820-REV,2024-08-20,total_revenue_usd,1,HIGH,UP,49.06,2.267,1,back_to_school_surge,total_revenue_usd -> n_orders -> sessions,sessions,1.508,UP,2,"n_orders, sessions","n_orders, total_revenue_usd",no_anomalous_child,True,2884542.23,2873014.06,8945.12,0.31,11596.44,6293.8,True,1.0,,True,sessions,total_revenue_usd,0.03044574,0.0,542.7143,16.5233,0.11,True,0.9,0.96,total_revenue_usd moved UP +49.1% on 2024-08-20; suspected driver: sessions. CausalImpact: +0.3% cumulative effect (significant). DoWhy: sessions explains +0.1% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.20739,0.19968,0.07294,0.10939,[HIGH] total_revenue_usd moved UP +49.1% on 2024-08-20. Chain: total_revenue_usd -> n_orders -> sessions. Suspected driver: sessions. Causal confidence: 96%. No external suppression. Fully actionable.
ANO-20241129-REV,2024-11-29,total_revenue_usd,1,HIGH,UP,223.83,2.2671,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2673,UP,1,"avg_order_value_usd, avg_roas, inventory_health, n_orders",total_revenue_usd,no_anomalous_child,True,4102235.4,4028528.27,74144.09,1.84,78430.18,69857.99,True,1.0,,True,avg_order_value_usd,total_revenue_usd,202.5644554,0.003317,131.0214,26540.2785,129.96,True,0.9,0.96,total_revenue_usd moved UP +223.8% on 2024-11-29; suspected driver: avg_order_value_usd. CausalImpact: +1.8% cumulative effect (significant). DoWhy: avg_order_value_usd explains +130.0% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.1984,0.05041,-0.14141,-0.04948,[HIGH] total_revenue_usd moved UP +223.8% on 2024-11-29. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 96%. No external suppression. Fully actionable.
ANO-20241202-REV,2024-12-02,total_revenue_usd,1,HIGH,UP,44.68,0.5254,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5254,UP,0,,,no_anomalous_child,True,4136531.77,4064979.71,16335.17,0.4,39211.84,-6541.5,False,0.9192,,False,,,,,,,,,,0.9192,total_revenue_usd moved UP +44.7% on 2024-12-02; suspected driver: total_revenue_usd. CausalImpact: +0.4% cumulative effect (uncertain).,False,none,,1.0,HIGH,False,,0.20865,0.06738,-0.14381,-0.06632,[HIGH] total_revenue_usd moved UP +44.7% on 2024-12-02. Root: total_revenue_usd (no deeper driver above watch threshold). Causal confidence: 92%. No external suppression. Fully actionable.
ANO-20251128-REV,2025-11-28,total_revenue_usd,1,HIGH,UP,246.63,2.2677,1,black_friday_spike,total_revenue_usd -> avg_order_value_usd,avg_order_value_usd,2.2677,UP,1,"avg_order_value_usd, n_orders, total_clicks",total_revenue_usd,no_anomalous_child,True,8273796.99,8153914.35,70092.94,0.86,87271.15,52914.72,True,1.0,,True,avg_order_value_usd,total_revenue_usd,202.5644554,0.003317,134.9257,27331.1509,153.62,True,0.9,0.96,total_revenue_usd moved UP +246.6% on 2025-11-28; suspected driver: avg_order_value_usd. CausalImpact: +0.9% cumulative effect (significant). DoWhy: avg_order_value_usd explains +153.6% of expected outcome (robust).,False,none,,1.0,HIGH,False,,0.03214,-0.03777,-0.13961,-0.02767,[HIGH] total_revenue_usd moved UP +246.6% on 2025-11-28. Chain: total_revenue_usd -> avg_order_value_usd. Suspected driver: avg_order_value_usd. Causal confidence: 96%. No external suppression. Fully actionable.
ANO-20251201-REV,2025-12-01,total_revenue_usd,1,MEDIUM,UP,52.27,0.5619,1,cyber_monday_halo,total_revenue_usd,total_revenue_usd,0.5619,UP,0,inventory_health,,no_anomalous_child,False,,,,,,,,,,False,,,,,,,,,,,total_revenue_usd moved UP +52.3% on 2025-12-01; suspected driver: total_revenue_usd.,False,none,,1.0,HIGH,False,,0.01142,0.03057,-0.14225,-0.04464,[MEDIUM] total_revenue_usd moved UP +52.3% on 2025-12-01. Root: total_revenue_usd (no deeper driver above watch threshold). No external suppression. Fully actionable.
