date,sessions,unique_visitors,bounce_rate,pages_per_session,avg_session_duration_sec,conversion_rate,conversions
2024-01-01,7706,6486,0.411,3.19,162.9,0.025,192
2024-01-02,7759,6552,0.411,3.39,189.3,0.0246,190
2024-01-03,7739,5958,0.402,3.29,183.5,0.0245,189
2024-01-04,7723,5733,0.474,2.95,199.9,0.0223,172
2024-01-05,7689,5882,0.426,3.39,170.6,0.0243,186
2024-01-06,7719,6417,0.448,3.17,171.8,0.0225,173
2024-01-07,7647,6610,0.456,2.64,186.2,0.0219,167
2024-01-08,7706,6272,0.408,2.92,171.9,0.0227,174
2024-01-09,7684,5940,0.419,3.0,175.9,0.0216,165
2024-01-10,7697,5825,0.405,2.97,221.7,0.0209,160
2024-01-11,7692,6637,0.444,3.57,183.3,0.0203,156
2024-01-12,7741,5816,0.405,3.4,172.8,0.0214,165
2024-01-13,7677,6515,0.45,2.77,178.8,0.0241,185
2024-01-14,7670,6253,0.397,3.08,148.6,0.0243,186
2024-01-15,7662,6038,0.423,2.63,148.1,0.0232,177
2024-01-16,7702,5896,0.42,2.77,174.1,0.0239,184
2024-01-17,7671,6224,0.437,2.93,155.4,0.0234,179
2024-01-18,7669,6089,0.418,3.21,183.4,0.0235,180
2024-01-19,7646,5906,0.433,3.66,185.3,0.0249,190
2024-01-20,7653,6684,0.407,3.6,189.4,0.0241,184
2024-01-21,7677,6671,0.44,2.68,207.0,0.0242,185
2024-01-22,7646,6181,0.401,3.2,193.1,0.0234,178
2024-01-23,7689,6080,0.439,3.32,183.2,0.0234,179
2024-01-24,7722,6684,0.44,3.1,176.5,0.0238,183
2024-01-25,7742,5824,0.468,3.22,162.7,0.0229,177
2024-01-26,7775,5826,0.395,3.01,189.1,0.0228,177
2024-01-27,7755,5961,0.402,3.3,179.2,0.0227,176
2024-01-28,7755,6387,0.435,3.38,172.8,0.0223,172
2024-01-29,7728,5911,0.446,3.08,197.2,0.0213,164
2024-01-30,7724,5945,0.45,2.7,172.3,0.0202,156
2024-01-31,7746,5752,0.477,3.05,208.0,0.0205,158
2024-02-01,7728,5865,0.41,3.24,174.5,0.0207,159
2024-02-02,7721,5979,0.399,3.14,184.4,0.0235,181
2024-02-03,7704,6413,0.439,2.71,203.7,0.021,161
2024-02-04,7683,6133,0.456,3.21,140.5,0.0216,165
2024-02-05,7669,6583,0.391,3.34,180.2,0.0223,171
2024-02-06,7676,6574,0.411,2.54,169.2,0.024,184
2024-02-07,7648,6626,0.477,3.05,207.6,0.0246,188
2024-02-08,7664,5917,0.439,2.95,123.4,0.0238,182
2024-02-09,7725,6791,0.408,3.02,167.3,0.0239,184
2024-02-10,7755,6223,0.455,3.09,157.2,0.0246,190
2024-02-11,7755,6214,0.386,2.69,191.4,0.0243,188
2024-02-12,7787,5665,0.414,3.23,179.8,0.0252,196
2024-02-13,7715,5755,0.415,2.86,176.1,0.0232,178
2024-02-14,7838,5850,0.381,3.67,212.6,0.0252,197
2024-02-15,8332,6168,0.422,3.18,174.1,0.0267,222
2024-02-16,8150,6384,0.427,3.54,199.4,0.0262,213
2024-02-17,8330,6263,0.379,2.53,140.5,0.0267,222
2024-02-18,8365,6053,0.472,3.22,215.4,0.0266,222
2024-02-19,8043,6227,0.438,2.91,151.6,0.0256,205
2024-02-20,8079,5959,0.418,3.15,179.1,0.0256,206
2024-02-21,8409,6395,0.405,3.54,168.0,0.0266,223
2024-02-22,8222,6155,0.428,3.38,168.6,0.026,213
2024-02-23,8030,6470,0.411,3.22,179.8,0.0255,204
2024-02-24,7982,6258,0.408,3.29,120.6,0.0254,202
2024-02-25,8114,7041,0.387,3.15,178.3,0.0258,209
2024-02-26,8541,7051,0.371,3.33,189.0,0.0271,231
2024-02-27,8294,6373,0.46,3.75,207.1,0.0262,217
2024-02-28,8460,6533,0.458,3.08,148.8,0.0266,225
2024-02-29,8493,7409,0.349,3.25,182.1,0.0267,226
2024-03-01,7987,6931,0.393,3.38,158.3,0.0246,196
2024-03-02,7965,5744,0.391,3.37,211.0,0.0242,192
2024-03-03,8008,6778,0.425,3.29,175.4,0.0241,192
2024-03-04,8027,6642,0.39,3.48,157.0,0.0242,194
2024-03-05,8019,5774,0.399,3.19,179.9,0.0246,197
2024-03-06,8037,6384,0.359,2.67,173.2,0.0225,180
2024-03-07,8036,6362,0.431,3.26,213.3,0.0228,183
2024-03-08,8074,6149,0.399,3.26,153.1,0.0223,180
2024-03-09,8124,6460,0.463,3.24,201.8,0.0211,171
2024-03-10,8194,6372,0.404,4.04,195.2,0.022,180
2024-03-11,8147,7165,0.399,3.48,201.8,0.0231,188
2024-03-12,8100,6595,0.479,3.13,206.2,0.0226,183
2024-03-13,8084,6323,0.448,3.14,183.5,0.0237,191
2024-03-14,8091,6468,0.449,3.29,189.6,0.0234,189
2024-03-15,8121,6333,0.348,3.48,200.6,0.0237,192
2024-03-16,8131,6531,0.383,3.65,170.5,0.0226,183
2024-03-17,8067,7065,0.436,3.45,237.3,0.0245,197
2024-03-18,8060,5954,0.452,3.82,192.0,0.0218,175
2024-03-19,8090,6899,0.455,3.38,151.5,0.022,177
2024-03-20,8099,5876,0.44,2.7,221.0,0.023,186
2024-03-21,8126,6664,0.448,3.15,229.1,0.0211,171
