date,year,quarter_num,quarter_label,month_num,month_name,month_label,week_num,day_of_week,is_weekend,is_month_start,is_quarter_start,day_of_year
2024-01-01,2024,1,Q1 2024,1,January,Jan 2024,1,Monday,False,True,True,1
2024-01-02,2024,1,Q1 2024,1,January,Jan 2024,1,Tuesday,False,False,False,2
2024-01-03,2024,1,Q1 2024,1,January,Jan 2024,1,Wednesday,False,False,False,3
2024-01-04,2024,1,Q1 2024,1,January,Jan 2024,1,Thursday,False,False,False,4
2024-01-05,2024,1,Q1 2024,1,January,Jan 2024,1,Friday,False,False,False,5
2024-01-06,2024,1,Q1 2024,1,January,Jan 2024,1,Saturday,True,False,False,6
2024-01-07,2024,1,Q1 2024,1,January,Jan 2024,1,Sunday,True,False,False,7
2024-01-08,2024,1,Q1 2024,1,January,Jan 2024,2,Monday,False,False,False,8
2024-01-09,2024,1,Q1 2024,1,January,Jan 2024,2,Tuesday,False,False,False,9
2024-01-10,2024,1,Q1 2024,1,January,Jan 2024,2,Wednesday,False,False,False,10
2024-01-11,2024,1,Q1 2024,1,January,Jan 2024,2,Thursday,False,False,False,11
2024-01-12,2024,1,Q1 2024,1,January,Jan 2024,2,Friday,False,False,False,12
2024-01-13,2024,1,Q1 2024,1,January,Jan 2024,2,Saturday,True,False,False,13
2024-01-14,2024,1,Q1 2024,1,January,Jan 2024,2,Sunday,True,False,False,14
2024-01-15,2024,1,Q1 2024,1,January,Jan 2024,3,Monday,False,False,False,15
2024-01-16,2024,1,Q1 2024,1,January,Jan 2024,3,Tuesday,False,False,False,16
2024-01-17,2024,1,Q1 2024,1,January,Jan 2024,3,Wednesday,False,False,False,17
2024-01-18,2024,1,Q1 2024,1,January,Jan 2024,3,Thursday,False,False,False,18
2024-01-19,2024,1,Q1 2024,1,January,Jan 2024,3,Friday,False,False,False,19
2024-01-20,2024,1,Q1 2024,1,January,Jan 2024,3,Saturday,True,False,False,20
2024-01-21,2024,1,Q1 2024,1,January,Jan 2024,3,Sunday,True,False,False,21
2024-01-22,2024,1,Q1 2024,1,January,Jan 2024,4,Monday,False,False,False,22
2024-01-23,2024,1,Q1 2024,1,January,Jan 2024,4,Tuesday,False,False,False,23
2024-01-24,2024,1,Q1 2024,1,January,Jan 2024,4,Wednesday,False,False,False,24
2024-01-25,2024,1,Q1 2024,1,January,Jan 2024,4,Thursday,False,False,False,25
2024-01-26,2024,1,Q1 2024,1,January,Jan 2024,4,Friday,False,False,False,26
2024-01-27,2024,1,Q1 2024,1,January,Jan 2024,4,Saturday,True,False,False,27
2024-01-28,2024,1,Q1 2024,1,January,Jan 2024,4,Sunday,True,False,False,28
2024-01-29,2024,1,Q1 2024,1,January,Jan 2024,5,Monday,False,False,False,29
2024-01-30,2024,1,Q1 2024,1,January,Jan 2024,5,Tuesday,False,False,False,30
2024-01-31,2024,1,Q1 2024,1,January,Jan 2024,5,Wednesday,False,False,False,31
2024-02-01,2024,1,Q1 2024,2,February,Feb 2024,5,Thursday,False,True,False,32
2024-02-02,2024,1,Q1 2024,2,February,Feb 2024,5,Friday,False,False,False,33
2024-02-03,2024,1,Q1 2024,2,February,Feb 2024,5,Saturday,True,False,False,34
2024-02-04,2024,1,Q1 2024,2,February,Feb 2024,5,Sunday,True,False,False,35
2024-02-05,2024,1,Q1 2024,2,February,Feb 2024,6,Monday,False,False,False,36
2024-02-06,2024,1,Q1 2024,2,February,Feb 2024,6,Tuesday,False,False,False,37
2024-02-07,2024,1,Q1 2024,2,February,Feb 2024,6,Wednesday,False,False,False,38
2024-02-08,2024,1,Q1 2024,2,February,Feb 2024,6,Thursday,False,False,False,39
2024-02-09,2024,1,Q1 2024,2,February,Feb 2024,6,Friday,False,False,False,40
2024-02-10,2024,1,Q1 2024,2,February,Feb 2024,6,Saturday,True,False,False,41
2024-02-11,2024,1,Q1 2024,2,February,Feb 2024,6,Sunday,True,False,False,42
2024-02-12,2024,1,Q1 2024,2,February,Feb 2024,7,Monday,False,False,False,43
2024-02-13,2024,1,Q1 2024,2,February,Feb 2024,7,Tuesday,False,False,False,44
2024-02-14,2024,1,Q1 2024,2,February,Feb 2024,7,Wednesday,False,False,False,45
2024-02-15,2024,1,Q1 2024,2,February,Feb 2024,7,Thursday,False,False,False,46
2024-02-16,2024,1,Q1 2024,2,February,Feb 2024,7,Friday,False,False,False,47
2024-02-17,2024,1,Q1 2024,2,February,Feb 2024,7,Saturday,True,False,False,48
2024-02-18,2024,1,Q1 2024,2,February,Feb 2024,7,Sunday,True,False,False,49
2024-02-19,2024,1,Q1 2024,2,February,Feb 2024,8,Monday,False,False,False,50
2024-02-20,2024,1,Q1 2024,2,February,Feb 2024,8,Tuesday,False,False,False,51
2024-02-21,2024,1,Q1 2024,2,February,Feb 2024,8,Wednesday,False,False,False,52
2024-02-22,2024,1,Q1 2024,2,February,Feb 2024,8,Thursday,False,False,False,53
2024-02-23,2024,1,Q1 2024,2,February,Feb 2024,8,Friday,False,False,False,54
2024-02-24,2024,1,Q1 2024,2,February,Feb 2024,8,Saturday,True,False,False,55
2024-02-25,2024,1,Q1 2024,2,February,Feb 2024,8,Sunday,True,False,False,56
2024-02-26,2024,1,Q1 2024,2,February,Feb 2024,9,Monday,False,False,False,57
2024-02-27,2024,1,Q1 2024,2,February,Feb 2024,9,Tuesday,False,False,False,58
2024-02-28,2024,1,Q1 2024,2,February,Feb 2024,9,Wednesday,False,False,False,59
2024-02-29,2024,1,Q1 2024,2,February,Feb 2024,9,Thursday,False,False,False,60
2024-03-01,2024,1,Q1 2024,3,March,Mar 2024,9,Friday,False,True,False,61
2024-03-02,2024,1,Q1 2024,3,March,Mar 2024,9,Saturday,True,False,False,62
2024-03-03,2024,1,Q1 2024,3,March,Mar 2024,9,Sunday,True,False,False,63
2024-03-04,2024,1,Q1 2024,3,March,Mar 2024,10,Monday,False,False,False,64
