kpi,kpi_label,tier,kpi_category,description
avg_roas,Avg. ROAS,1,Marketing,Return on Ad Spend averaged across all paid channels
conversion_rate,Conversion Rate,1,Marketing,Share of website sessions resulting in a purchase
n_orders,Order Volume,1,Revenue,Total number of completed orders per day
total_revenue_usd,Total Revenue (USD),1,Revenue,Aggregate daily revenue from all completed orders
return_rate,Return Rate,2,Customer,Share of orders that were subsequently returned
bounce_rate,Bounce Rate,2,Marketing,Share of sessions leaving without viewing a second page
n_stockouts,Stockout Count,2,Operations,Number of SKUs with zero stock on hand
avg_order_value_usd,Avg. Order Value (USD),2,Revenue,Average spend per completed order
total_clicks,Total Clicks,3,Marketing,Total paid ad clicks across all channels
inventory_health,Inventory Health,3,Operations,Composite score of stock availability and reorder status
avg_discount_pct,Avg. Discount %,3,Revenue,Average discount fraction applied across all orders
sessions,Website Sessions,3,Traffic,Total website sessions per day
